Target_genes	TFDP1|Average	SRX1726514|MM.1S	SRX1726517|U-266	STRING
CDC25A	1759.000000	2394	1124	0
NEK2	1753.500000	2226	1281	0
SAC3D1	1749.000000	2123	1375	0
LOC112694756	1740.500000	2239	1242	0
CDC6	1733.000000	2425	1041	0
H2BC12	1730.500000	2498	963	0
H2AC12	1730.500000	2498	963	0
KIAA0895	1728.500000	2071	1386	0
ANLN	1728.500000	2071	1386	0
FAAP24	1727.500000	2058	1397	0
CEP89	1727.500000	2058	1397	0
MCM6	1718.500000	2325	1112	0
CEP295	1717.500000	2197	1238	0
CCNG2	1716.000000	2584	848	0
HNRNPA1	1712.000000	2356	1068	0
CBX5	1712.000000	2356	1068	0
AK2	1708.000000	2319	1097	0
C10orf88	1704.000000	1966	1442	0
C1orf35	1698.500000	2438	959	0
PTRHD1	1695.500000	2111	1280	0
CENPO	1695.500000	2111	1280	0
CDC7	1687.000000	2294	1080	0
WDR62	1685.500000	2018	1353	0
THAP8	1685.500000	2018	1353	0
TPM3	1684.000000	1972	1396	0
SGO2	1682.000000	2281	1083	0
PHF1	1681.500000	2262	1101	0
CMC2	1671.000000	1949	1393	0
CKLF-CMTM1	1671.000000	2162	1180	0
CKLF	1671.000000	2162	1180	0
CENPN	1671.000000	1949	1393	0
EFCAB7	1667.000000	2013	1321	0
FIGNL1	1663.000000	1890	1436	0
C2orf69	1663.000000	2092	1234	0
KIF20B	1662.500000	1955	1370	0
SNRNP25	1660.000000	2406	914	0
POLR3K	1660.000000	2406	914	0
C15orf41	1652.500000	1858	1447	0
DNAJC9	1644.500000	2264	1025	0
TPD52L2	1644.000000	2485	803	0
CEP55	1643.500000	2027	1260	0
SLBP	1630.500000	2063	1198	0
RAD51AP1	1622.000000	2553	691	0
LIN9	1622.000000	2230	1014	0
C12orf4	1622.000000	2553	691	0
SLX1B	1616.500000	2253	980	0
SLX1A	1616.500000	2253	980	0
BOLA2-SMG1P6	1616.500000	2253	980	0
BOLA2B	1616.500000	2253	980	0
BOLA2	1616.500000	2253	980	0
CALU	1615.500000	2053	1178	0
S100A13	1608.500000	2402	815	0
CHTOP	1608.500000	2402	815	0
EDRF1	1607.500000	2264	951	0
H2BC14	1607.000000	2604	610	0
H2AC14	1607.000000	2604	610	0
RAD51	1606.000000	1898	1314	0
METTL2A	1606.000000	2325	887	0
CHAMP1	1606.000000	1769	1443	0
H2AC16	1604.000000	2473	735	0
ASF1B	1601.500000	1843	1360	0
CNTRL	1595.000000	1722	1468	0
C5	1595.000000	1722	1468	0
SLC25A40	1588.500000	1940	1237	0
DBF4	1588.500000	1940	1237	0
CYCS	1586.000000	2004	1168	0
SRSF10	1573.500000	2204	943	0
DCK	1571.000000	2336	806	0
HNRNPA3	1569.000000	2395	743	0
RRM1	1567.500000	1794	1341	0
DSCC1	1563.000000	1667	1459	0
AEN	1562.000000	2078	1046	0
DIAPH3	1555.000000	1453	1657	0
MND1	1553.000000	1732	1374	0
SMC4	1551.500000	2058	1045	0
IFT80	1551.500000	2058	1045	0
COX18	1551.500000	2442	661	0
RECQL4	1541.500000	2464	619	0
LRRC14	1541.500000	2464	619	0
PLK1	1536.000000	1710	1362	0
CEP192	1535.500000	2050	1021	0
UCHL5	1534.000000	2330	738	0
RO60	1534.000000	2330	738	0
USP5	1512.500000	2251	774	0
CDCA3	1512.500000	2251	774	0
POP7	1512.000000	2164	860	0
RBSN	1509.500000	2125	894	0
ALG8	1509.500000	2052	967	0
TBC1D15	1509.000000	1972	1046	0
PDS5A	1508.000000	2313	703	0
FLAD1	1506.500000	2174	839	0
ZNF687	1504.000000	2079	929	0
SRSF4	1502.500000	2251	754	0
RFC2	1501.500000	2012	991	0
RPS13	1501.000000	1637	1365	0
CCDC34	1501.000000	1549	1453	0
PBK	1496.000000	2200	792	0
DIP2A	1494.500000	2236	753	0
ANAPC11	1494.500000	1512	1477	0
ALYREF	1494.500000	1512	1477	0
MYO9B	1494.000000	2070	918	0
HAUS8	1494.000000	2070	918	0
HMGB1	1488.500000	1913	1064	0
VPS35	1486.000000	1911	1061	0
ORC6	1486.000000	1911	1061	0
ATAD2	1485.000000	2066	904	0
MCM7	1483.500000	1957	1010	0
AP4M1	1483.500000	1957	1010	0
AGFG2	1478.000000	1874	1082	0
CEP120	1477.500000	2296	659	0
GORASP2	1476.500000	2245	708	0
POLD1	1472.500000	2116	829	0
HJURP	1472.500000	1989	956	0
BCL10	1468.500000	2511	426	0
FNBP4	1464.500000	2605	324	0
TFDP1	1461.500000	2265	658	0
SLF1	1460.000000	1763	1157	0
KIAA0825	1460.000000	1763	1157	0
REXO5	1457.000000	1660	1254	0
ERI2	1457.000000	1660	1254	0
TMEM18	1456.500000	2013	900	0
TRIP13	1450.000000	1820	1080	0
BRD9	1450.000000	1820	1080	0
NMRAL1	1442.500000	2102	783	0
HMOX2	1442.500000	2102	783	0
H4C15	1440.500000	2004	877	0
H4C14	1440.500000	2004	877	0
ZNF367	1438.500000	1720	1157	0
TIPIN	1437.000000	2171	703	0
MSH6	1435.500000	1967	904	0
KIF22	1433.500000	1803	1064	0
LEMD3	1431.000000	2045	817	0
WDR53	1429.500000	1807	1052	0
FBXO45	1429.500000	1807	1052	0
SHC1	1427.500000	1922	933	0
CKS1B	1427.500000	1922	933	0
PUM2	1427.000000	1826	1028	0
TTC33	1426.500000	2134	719	0
CNTLN	1421.500000	1688	1155	0
UBE2Q1	1419.500000	2129	710	0
NFATC2IP	1412.000000	2089	735	0
CKAP2L	1409.000000	1814	1004	0
XRCC5	1405.000000	2002	808	0
TCF19	1403.000000	1934	872	0
CCHCR1	1403.000000	1934	872	0
ATAD5	1397.500000	1583	1212	0
RMDN3	1392.500000	2077	708	0
ESCO2	1390.000000	2186	594	0
ESYT1	1387.000000	2302	472	0
SKA3	1385.500000	1822	949	0
MRPL57	1385.500000	1822	949	0
SEH1L	1381.000000	1774	988	0
HSPA14	1379.000000	2107	651	0
CDNF	1379.000000	2107	651	0
FCHSD2	1376.500000	1970	783	0
RNPS1	1371.000000	1848	894	0
ASH2L	1369.500000	1935	804	0
KRR1	1364.500000	2157	572	0
DSN1	1361.000000	1987	735	0
IQGAP3	1360.000000	2560	160	0
RPA2	1358.500000	1801	916	0
FOXN2	1358.000000	1939	777	0
RPS29	1354.500000	1528	1181	0
LRR1	1354.500000	1528	1181	0
ANP32E	1350.500000	2032	669	0
MTG1	1347.000000	1783	911	0
TTF2	1341.000000	1594	1088	0
ASPM	1341.000000	1982	700	0
INCENP	1338.000000	1783	893	0
CHAF1A	1337.000000	1756	918	0
TMEM258	1335.500000	1434	1237	0
FEN1	1335.500000	1434	1237	0
CDCA7L	1335.000000	1952	718	0
NUP107	1334.500000	1356	1313	0
RBL1	1332.500000	1934	731	0
POLD3	1332.000000	1864	800	0
FAM110A	1327.500000	1622	1033	0
RPS20	1326.500000	2035	618	0
LSM4	1323.000000	2044	602	0
ZWINT	1318.500000	2191	446	0
CENPW	1317.500000	1802	833	0
FOXRED2	1316.500000	1745	888	0
ARFGAP3	1315.000000	1681	949	0
SGTA	1310.500000	1979	642	0
POC1A	1309.000000	1577	1041	0
WDR76	1308.500000	1624	993	0
CENPM	1308.000000	1856	760	0
ATF2	1307.500000	2251	364	0
BIRC5	1305.500000	1847	764	0
PKNOX1	1304.000000	2405	203	0
METTL18	1298.500000	1741	856	0
C1orf112	1298.500000	1741	856	0
HASPIN	1295.500000	1916	675	0
TOP2A	1294.000000	1560	1028	0
CHEK1	1292.500000	1976	609	0
RARS2	1291.500000	1630	953	0
ORC3	1291.500000	1630	953	0
C5orf24	1290.000000	1835	745	0
FAM24B	1287.500000	1351	1224	0
KIF11	1284.500000	1861	708	0
PSMG2	1284.000000	1424	1144	0
CEP76	1284.000000	1424	1144	0
RAD21	1282.500000	1580	985	0
ZNF688	1278.000000	1745	811	0
FAM76A	1272.500000	2233	312	0
ARHGEF39	1269.500000	1670	869	0
DDX11	1268.000000	1944	592	0
CDK5RAP3	1266.500000	1573	960	0
AIP	1264.000000	2004	524	0
MAP3K7	1262.000000	1835	689	0
HSCB	1261.000000	1789	733	0
CHEK2	1261.000000	1789	733	0
SAFB2	1253.500000	1848	659	0
SAFB	1253.500000	1848	659	0
RMI1	1250.500000	1878	623	0
HNRNPK	1250.500000	1878	623	0
CIAO2A	1249.500000	1877	622	0
SFR1	1248.500000	1865	632	0
ZNF473	1247.500000	1465	1030	0
YME1L1	1247.500000	1922	573	0
VRK3	1247.500000	1465	1030	0
MASTL	1247.500000	1922	573	0
CDC23	1246.000000	2023	469	0
ECT2	1244.500000	1699	790	0
IKBIP	1238.500000	1637	840	0
APAF1	1238.500000	1637	840	0
DHX15	1238.000000	2048	428	0
MCM10	1236.500000	1837	636	0
HDAC4	1235.500000	1407	1064	0
MCOLN1	1235.000000	1425	1045	0
DHX40	1228.000000	1008	1448	0
VRK1	1227.500000	1386	1069	0
MPC2	1227.000000	1976	478	0
DCAF6	1227.000000	1976	478	0
NOL8	1225.000000	1403	1047	0
CENPP	1225.000000	1403	1047	0
DHX35	1223.500000	1714	733	0
SCAF4	1221.500000	1768	675	0
FHOD1	1218.500000	1934	503	0
ARHGAP11A-SCG5	1216.500000	1663	770	0
ARHGAP11A	1216.500000	1663	770	0
MAMSTR	1214.000000	1703	725	0
ADSS2	1213.500000	1857	570	0
NAP1L4	1209.000000	1710	708	0
TTK	1208.500000	1845	572	0
CENPI	1207.500000	1554	861	0
CENPU	1206.500000	1870	543	0
CEP68	1205.000000	1873	537	0
CCDC150	1204.500000	1387	1022	0
DARS2	1201.000000	1453	949	0
CENPL	1201.000000	1453	949	0
PRIM1	1194.000000	1953	435	0
MRPL27	1194.000000	1403	985	0
EME1	1194.000000	1403	985	0
RPS16	1193.000000	1633	753	0
MTRNR2L8	1191.000000	1266	1116	0
INIP	1189.500000	1400	979	0
PMVK	1187.000000	1656	718	0
CENPF	1187.000000	1640	734	0
PARPBP	1183.500000	1459	908	0
NUP37	1183.500000	1459	908	0
RFC5	1179.500000	1363	996	0
MCM5	1176.500000	1731	622	0
L3MBTL2	1176.500000	1771	582	0
ZSWIM9	1175.000000	1804	546	0
LIG1	1175.000000	1804	546	0
RPS11	1174.000000	1668	680	0
ZNF451	1170.000000	1648	692	0
MIS18A	1169.500000	1308	1031	0
APOBEC3B	1169.000000	1791	547	0
STRADA	1168.500000	1602	735	0
CEP78	1168.500000	1659	678	0
CDCA8	1167.500000	1553	782	0
C1orf109	1167.500000	1553	782	0
UBAP2	1165.000000	1501	829	0
TIMELESS	1163.500000	1554	773	0
NPM1	1163.500000	1614	713	0
KNL1	1162.500000	1410	915	0
FANCI	1162.500000	1387	938	0
GGCT	1161.000000	1439	883	0
DNA2	1161.000000	1621	701	0
RMI2	1160.500000	1671	650	0
XRCC1	1159.500000	1831	488	0
PINLYP	1159.500000	1831	488	0
DEPDC1	1158.500000	1639	678	0
MMUT	1157.500000	1689	626	0
CENPQ	1157.500000	1689	626	0
SMC2	1155.000000	1545	765	0
COX8A	1154.500000	1695	614	0
GINS3	1154.000000	1660	648	0
FANCG	1152.500000	1613	692	0
RRP1B	1151.500000	1706	597	0
HSF2BP	1151.500000	1706	597	0
RIF1	1150.500000	1640	661	0
GINS4	1150.000000	1552	748	0
DZIP3	1149.500000	1456	843	0
CIP2A	1149.500000	1456	843	0
MRPL17	1149.000000	1653	645	0
ACTL6A	1147.500000	1981	314	0
STARD6	1145.500000	1222	1069	0
C18orf54	1145.500000	1222	1069	0
VDAC3	1145.000000	1538	752	0
GMCL1	1144.000000	1496	792	0
USP37	1143.000000	1630	656	0
CNOT9	1143.000000	1630	656	0
TCTEX1D2	1142.500000	1744	541	0
PRMT3	1141.500000	1811	472	0
RECQL	1141.000000	1696	586	0
PPWD1	1141.000000	1435	847	0
GOLT1B	1141.000000	1696	586	0
ESPL1	1141.000000	1558	724	0
CENPK	1141.000000	1435	847	0
NUP133	1140.500000	1686	595	0
EMSY	1137.500000	1797	478	0
TATDN2	1133.000000	1768	498	0
CHAF1B	1132.500000	1824	441	0
TMED5	1128.500000	1107	1150	0
CCDC18	1128.500000	1107	1150	0
RAB33B	1127.500000	1701	554	0
NUP214	1127.000000	1628	626	0
SKP2	1125.000000	1716	534	0
LMBRD2	1125.000000	1716	534	0
FANCL	1123.000000	1512	734	0
EZH2	1120.500000	1810	431	0
YEATS4	1118.500000	1348	889	0
SHMT1	1118.500000	1927	310	0
TMEM126B	1116.500000	1671	562	0
SHQ1	1116.500000	1266	967	0
DLG2	1116.500000	1671	562	0
UCP2	1115.500000	1508	723	0
RCC1	1115.000000	1478	752	0
RTTN	1114.500000	1630	599	0
YTHDF1	1112.500000	1718	507	0
SNIP1	1112.500000	1541	684	0
ALDH16A1	1111.000000	1381	841	0
CEP63	1110.000000	1715	505	0
ANAPC13	1110.000000	1715	505	0
BTG1	1108.000000	1981	235	0
RFC1	1106.000000	1522	690	0
ZNF644	1104.500000	1679	530	0
POLR2M	1104.000000	1524	684	0
SPEN	1103.000000	1593	613	0
TASOR	1102.000000	1625	579	0
MSH2	1101.000000	1510	692	0
MPDU1	1101.000000	1943	259	0
LOC100996842	1101.000000	1943	259	0
CASP8AP2	1101.000000	1755	447	0
CDK13	1098.500000	1783	414	0
UMAD1	1098.000000	1462	734	0
ATP9B	1098.000000	1710	486	0
PPP4R3B	1097.500000	1863	332	0
NCAPD2	1093.000000	1813	373	0
MRPL51	1093.000000	1813	373	0
TADA1	1092.000000	1801	383	0
CCNA2	1091.500000	1510	673	0
SF3A2	1091.000000	1354	828	0
PLEKHJ1	1091.000000	1354	828	0
GUK1	1090.500000	1860	321	0
LRRC57	1090.000000	1458	722	0
HAUS2	1090.000000	1458	722	0
CEP85	1090.000000	1855	325	0
PTBP1	1089.000000	1748	430	0
MELK	1088.000000	1248	928	0
ATP5MC1	1088.000000	1881	295	0
SETD5	1083.500000	1254	913	0
IQCB1	1082.500000	1728	437	0
EAF2	1082.500000	1728	437	0
GPR180	1081.500000	1887	276	0
EIF2S2	1081.000000	1327	835	0
HNRNPAB	1079.000000	1444	714	0
MRE11	1078.500000	1487	670	0
ANKRD49	1078.500000	1487	670	0
MIS18BP1	1077.500000	1322	833	0
CDCA4	1071.500000	1265	878	0
WDR34	1070.000000	1409	731	0
TINF2	1067.500000	1281	854	0
SECISBP2	1065.500000	1453	678	0
NF2	1059.500000	1850	269	0
MAP2K7	1059.500000	1679	440	0
H2BC17	1059.500000	1624	495	0
H2AC17	1059.500000	1624	495	0
GPANK1	1059.500000	1396	723	0
CSNK2B	1059.500000	1396	723	0
HMGN2	1056.000000	1539	573	0
POLE4	1055.000000	1615	495	0
POT1	1054.000000	1675	433	0
RNASEH2A	1053.500000	1341	766	0
WDHD1	1052.000000	1480	624	0
VPS26B	1052.000000	1526	578	0
SOCS4	1052.000000	1480	624	0
NCAPD3	1052.000000	1526	578	0
CEP350	1050.500000	1567	534	0
MEX3C	1050.000000	1764	336	0
TNKS	1049.000000	1374	724	0
NUP153	1049.000000	1790	308	0
MMS22L	1049.000000	1654	444	0
CSE1L	1045.500000	1433	658	0
CACUL1	1045.000000	1699	391	0
PGRMC2	1042.500000	1287	798	0
UBR4	1041.500000	1383	700	0
ANKRD36C	1041.000000	1316	766	0
HADH	1040.500000	1478	603	0
CCM2	1040.000000	1470	610	0
RAD52	1039.500000	1772	307	0
FUS	1036.500000	1138	935	0
SUZ12	1035.000000	1574	496	0
GPX4	1035.000000	1653	417	0
SKA2	1033.000000	1251	815	0
PRR11	1033.000000	1251	815	0
TOE1	1031.500000	1313	750	0
MUTYH	1031.500000	1313	750	0
NUMA1	1030.000000	1503	557	0
LRTOMT	1030.000000	1503	557	0
PPIG	1029.500000	1296	763	0
PAGR1	1026.500000	1557	496	0
CTCF	1024.500000	1306	743	0
C19orf48	1021.500000	1266	777	0
PM20D2	1020.500000	1548	493	0
UBE2S	1019.500000	1421	618	0
PPM1D	1018.000000	1454	582	0
ARHGAP33	1017.500000	1640	395	0
SRRM1	1016.500000	1738	295	0
CCNB1	1015.000000	1471	559	0
MAZ	1014.500000	1493	536	0
SCAF1	1014.000000	1717	311	0
NUDT15	1013.500000	1474	553	0
SLFN13	1010.500000	2021	0	0
GPR19	1007.500000	1444	571	0
HMBS	1007.000000	1707	307	0
NCAPH	1000.000000	1299	701	0
SRGAP2C	999.500000	1251	748	0
FAM72B	999.500000	1251	748	0
KIF2A	998.500000	1363	634	0
NUP62	998.000000	945	1051	0
MFAP1	998.000000	1335	661	0
IL4I1	998.000000	945	1051	0
ATF5	998.000000	945	1051	0
TRA2B	996.000000	1584	408	0
HAUS6	993.500000	1226	761	0
MVK	992.500000	1431	554	0
MMAB	992.500000	1431	554	0
BUB1	990.500000	1201	780	0
ZGRF1	989.500000	1471	508	0
LARP7	989.500000	1471	508	0
TMPO	989.000000	1250	728	0
TTC9C	987.500000	1505	470	0
HNRNPUL2	987.500000	1505	470	0
DPH6	987.000000	1381	593	0
CDCA7	986.500000	1383	590	0
MEX3D	985.500000	1589	382	0
ZCWPW1	983.500000	1377	590	0
MEPCE	983.500000	1377	590	0
TUBG1	981.000000	1388	574	0
RETREG3	981.000000	1388	574	0
ANKRD36	981.000000	1414	548	0
ZNF184	979.500000	1434	525	0
STIL	979.000000	1290	668	0
TPX2	978.000000	1273	683	0
ERI1	978.000000	1227	729	0
ABCB6	976.500000	1083	870	0
XPO5	976.000000	1129	823	0
POLH	976.000000	1129	823	0
UNK	975.500000	1100	851	0
POU2F1	974.500000	1409	540	0
ING2	973.500000	1733	214	0
UFD1	973.000000	1525	421	0
CDC45	973.000000	1525	421	0
HNRNPA0	969.500000	1313	626	0
RFX1	969.000000	1513	425	0
H3C15	965.000000	1486	444	0
H3C14	965.000000	1486	444	0
UGGT1	964.000000	1221	707	0
ZBTB8OS	962.500000	1472	453	0
RBBP4	962.500000	1472	453	0
LTN1	961.500000	1263	660	0
FAM72C	960.500000	1178	743	0
CHERP	959.500000	1412	507	0
KMT5C	959.000000	1515	403	0
SEC14L1	958.500000	1571	346	0
POLQ	957.000000	1276	638	0
RER1	953.500000	1523	384	0
MORN1	953.500000	1523	384	0
HNRNPL	953.500000	1608	299	0
SCLT1	953.000000	1064	842	0
C4orf33	953.000000	1064	842	0
DNMT1	951.500000	1272	631	0
MLH1	948.500000	1424	473	0
MDM1	948.500000	1633	264	0
LRBA	948.500000	1258	639	0
EPM2AIP1	948.500000	1424	473	0
MOSPD2	947.500000	1098	797	0
FANCB	947.500000	1098	797	0
PSMC3IP	947.000000	1346	548	0
LRRC8A	946.500000	1186	707	0
KYAT1	946.500000	1186	707	0
CIT	946.000000	862	1030	0
PDE4DIP	945.500000	1460	431	0
WNK1	944.500000	1889	0	0
FDXR	942.000000	1568	316	0
NEIL3	941.500000	1723	160	0
PSMG1	941.000000	1433	449	0
MARCHF3	940.500000	1490	391	0
HDGFL2	939.000000	1599	279	0
SRGAP2	938.500000	1171	706	0
FAM72A	938.500000	1171	706	0
C9orf40	938.000000	1201	675	0
HAT1	936.500000	1360	513	0
TYMSOS	935.000000	1145	725	0
TYMS	935.000000	1145	725	0
SFT2D2	933.500000	1429	438	0
C1orf74	931.500000	1281	582	0
NCAPH2	929.500000	1646	213	0
LMF2	929.500000	1646	213	0
ARID3B	929.500000	1149	710	0
CEP135	927.500000	1403	452	0
KHSRP	926.500000	1595	258	0
DNAJC11	926.000000	1321	531	0
LOC100287896	924.500000	1401	448	0
LIPT2	924.500000	1401	448	0
ZFYVE21	924.000000	1082	766	0
XRCC3	924.000000	1082	766	0
RTL10	919.000000	1065	773	0
MAPK7	919.000000	1635	203	0
GNB1L	919.000000	1065	773	0
B9D1	919.000000	1635	203	0
ACTN4	917.500000	1528	307	0
USP48	917.000000	1355	479	0
TOMM5	917.000000	1374	460	0
GABPB2	917.000000	1399	435	0
POLA2	912.500000	1471	354	0
CHCHD2	911.500000	978	845	0
FAM111B	910.500000	1339	482	0
ETFDH	909.500000	1046	773	0
C4orf46	909.500000	1046	773	0
SRGAP2B	908.500000	1074	743	0
FAM72D	908.500000	1074	743	0
NAGK	906.500000	1140	673	0
NUP85	906.000000	1226	586	0
ANKRD36B	906.000000	1327	485	0
OARD1	905.000000	1319	491	0
NFYA	905.000000	1319	491	0
MAP4K1	905.000000	1379	431	0
EIF3K	905.000000	1379	431	0
TRAIP	904.500000	1122	687	0
STARD9	904.500000	1441	368	0
CXCR4	904.500000	1282	527	0
SCAPER	903.500000	1168	639	0
KIF14	903.500000	1057	750	0
KPNB1	901.500000	1138	665	0
BAZ1B	900.500000	1297	504	0
TUBGCP3	898.000000	1156	640	0
UBE3D	895.500000	1116	675	0
CDK4	895.000000	1321	469	0
TFRC	894.000000	1407	381	0
RGL1	894.000000	1437	351	0
PALB2	894.000000	1056	732	0
DCTN5	894.000000	1056	732	0
ARPC5	894.000000	1437	351	0
FANCA	893.500000	897	890	0
CTDSPL2	893.500000	1170	617	0
FAM161A	892.000000	1633	151	0
MCMBP	891.000000	1263	519	0
ANO10	890.500000	1274	507	0
ABHD5	890.500000	1274	507	0
ZNF684	889.500000	1150	629	0
TIAL1	889.500000	1123	656	0
RNF121	889.500000	1261	518	0
LOC100133315	889.500000	1261	518	0
FBXO48	889.000000	1216	562	0
APLF	889.000000	1216	562	0
E2F8	882.000000	1298	466	0
PIGX	881.000000	1184	578	0
CEP19	881.000000	1184	578	0
MSMO1	879.500000	1557	202	0
H2BC15	877.000000	986	768	0
H2AC15	877.000000	986	768	0
COP1	876.500000	944	809	0
CLN6	875.500000	943	808	0
ATF7IP	875.500000	1485	266	0
TAF5	874.500000	1118	631	0
SPDL1	874.500000	1087	662	0
E2F7	874.000000	1316	432	0
KIAA1586	873.500000	1153	594	0
FAM83D	873.000000	1244	502	0
UBE2D3	871.500000	1242	501	0
EIF3B	871.000000	1172	570	0
ADCK5	870.000000	1608	132	0
COPS3	869.500000	1485	254	0
IER5	869.000000	1187	551	0
THAP5	868.500000	1232	505	0
MESP2	868.500000	1138	599	0
DNAJB9	868.500000	1232	505	0
DHTKD1	867.500000	1325	410	0
GTPBP3	866.500000	1206	527	0
GPSM3	866.500000	1338	395	0
C8orf48	866.000000	1732	0	0
ABCA7	866.000000	1362	370	0
IPO7	863.500000	1205	522	0
KEAP1	863.000000	959	767	0
