Target_genes	E2F1|Average	SRX022432|HeLa	SRX150446|HeLa	SRX150563|HeLa	SRX734309|HMEC	SRX2565135|LNCAP	SRX2565136|LNCAP	SRX992662|LNCAP	SRX150556|MCF-7	SRX2585781|MDA-MB-231	SRX1726515|MM.1S	SRX275409|OCI-LY1	SRX1556104|PC-3	SRX1556105|PC-3	SRX1497386|RAJI	SRX1497396|RAJI	SRX1007721|SK-MEL-147	SRX1726518|U-266	SRX334238|Unclassified	SRX334239|Unclassified	SRX334242|Unclassified	SRX334243|Unclassified	SRX334246|Unclassified	SRX334247|Unclassified	SRX334250|Unclassified	SRX334251|Unclassified	SRX334254|Unclassified	SRX334255|Unclassified	SRX334258|Unclassified	SRX334259|Unclassified	SRX334262|Unclassified	SRX334263|Unclassified	SRX334265|Unclassified	SRX334266|Unclassified	SRX1548204|Wharton_Jelly	SRX1548205|Wharton_Jelly	SRX1548206|Wharton_Jelly	SRX1548207|Wharton_Jelly	SRX1548208|Wharton_Jelly	SRX1548209|Wharton_Jelly	STRING
RFC4	1323.025641	1118	1976	1371	2356	2228	1364	2857	3844	2028	2216	1871	0	0	978	2459	0	761	2177	1495	1687	1473	2058	1368	1791	1661	824	732	857	1159	1338	1461	1489	756	109	325	108	659	437	207	0
CDK1	1291.230769	165	1035	791	1784	2439	1676	2685	4608	1734	2173	1812	0	0	848	2238	0	501	2660	1570	1762	1975	2214	1722	1981	1695	994	933	720	926	1223	1811	1556	823	0	265	125	512	272	130	0
TRMT2A	1286.307692	512	1317	724	1368	2210	1395	2391	1694	1667	1979	2632	0	0	1340	2821	161	545	2447	1737	1920	2023	2454	1922	1835	1861	836	746	737	1102	1581	1968	1235	492	134	499	249	853	631	148	0
RANBP1	1286.307692	512	1317	724	1368	2210	1395	2391	1694	1667	1979	2632	0	0	1340	2821	161	545	2447	1737	1920	2023	2454	1922	1835	1861	836	746	737	1102	1581	1968	1235	492	134	499	249	853	631	148	0
GORASP2	1285.000000	699	1176	1008	2070	1992	1067	2521	4110	2262	2250	2263	0	0	1050	2349	116	663	2562	1567	1605	1689	2309	1422	1675	1579	887	845	628	830	1070	1726	1478	746	134	386	105	633	500	143	0
FAM111A	1271.358974	0	1929	923	2400	1436	835	2389	1683	2064	2241	1019	0	0	1043	2883	130	777	2523	2108	1770	2073	2581	1761	1929	1674	800	746	775	994	1398	1810	1687	662	97	646	204	883	611	99	0
SMPD4	1265.205128	687	786	430	1975	1564	1052	2099	2320	2193	2283	2368	0	0	1086	2324	155	694	2688	1677	1926	1849	2311	1705	2082	1846	859	743	558	1046	1398	1899	1363	688	161	612	137	1043	599	137	0
MZT2B	1265.205128	687	786	430	1975	1564	1052	2099	2320	2193	2283	2368	0	0	1086	2324	155	694	2688	1677	1926	1849	2311	1705	2082	1846	859	743	558	1046	1398	1899	1363	688	161	612	137	1043	599	137	0
H4C15	1260.410256	931	904	940	1960	1836	1376	2355	3151	1469	1520	2662	0	0	1548	2164	0	341	2602	1837	1708	1533	2197	1662	1889	1539	771	715	728	856	1377	1883	1704	812	174	521	158	760	470	103	0
H4C14	1260.410256	931	904	940	1960	1836	1376	2355	3151	1469	1520	2662	0	0	1548	2164	0	341	2602	1837	1708	1533	2197	1662	1889	1539	771	715	728	856	1377	1883	1704	812	174	521	158	760	470	103	0
MCM3	1255.769231	605	787	726	2926	2244	1313	2835	4402	1850	3273	2600	0	0	1974	3243	0	1065	1732	963	1157	1211	1693	1120	1395	1086	660	646	575	923	745	1217	1230	718	179	436	161	489	567	229	0
VPS29	1237.871795	992	759	662	1415	2448	1424	2404	2707	2104	1516	1487	0	0	1220	2484	0	505	2614	1913	2003	2067	2498	1799	2167	1649	850	914	895	987	1181	1634	1222	858	0	111	83	432	273	0	0
RAD9B	1237.871795	992	759	662	1415	2448	1424	2404	2707	2104	1516	1487	0	0	1220	2484	0	505	2614	1913	2003	2067	2498	1799	2167	1649	850	914	895	987	1181	1634	1222	858	0	111	83	432	273	0	0
MXD3	1227.794872	266	177	221	1006	2074	1525	2113	1246	1954	2136	1120	0	0	918	1818	0	259	2968	2327	2136	2424	2787	2158	2307	2187	1036	990	924	1254	1696	2082	1610	883	0	371	108	481	322	0	0
ARHGEF39	1227.282051	231	1349	709	2106	2409	1447	2719	1785	1571	1768	1100	0	0	195	582	0	872	3050	2130	2110	2299	2768	1959	2191	1959	937	831	778	1176	1473	1875	860	629	168	460	123	722	391	132	0
KIF23	1226.897436	749	1099	576	2509	2198	956	2828	2126	2140	2122	1246	0	0	917	2222	0	1513	2808	1786	1858	1636	2308	1846	1931	1576	888	761	621	730	1086	1359	1224	727	82	276	104	521	378	142	0
BLM	1226.128205	755	1890	1168	2522	2351	1391	2776	3352	2005	1649	1528	0	0	800	2857	0	1053	2419	1473	1561	1553	1789	1404	1700	1209	791	808	654	882	1057	1360	988	607	85	192	137	461	475	117	0
SLBP	1222.948718	580	1640	951	2136	1759	974	2021	3281	1738	2409	1334	0	0	1573	2884	0	1007	2036	1437	1660	1648	1861	1667	1888	1472	1086	1280	774	891	1341	1630	704	489	83	281	192	445	425	118	0
H2AZ2	1212.871795	985	1169	624	1499	1695	1216	2331	3794	2053	2281	2106	0	0	1525	2992	0	677	1975	1545	1326	1421	1913	1664	1770	1398	834	783	701	967	1196	1500	1510	829	0	335	111	401	176	0	0
FANCD2	1210.000000	1350	241	226	2894	2497	1498	3104	1491	2330	1105	843	0	0	851	2166	0	813	2597	1667	1761	1746	2062	1736	1915	1844	734	710	796	1091	926	1692	1375	787	102	581	169	736	602	152	0
E2F3	1204.333333	766	701	741	2907	2208	1595	2569	2586	1668	2441	1705	0	0	1338	3231	0	833	2178	1266	1518	1278	1839	783	1464	1278	726	554	482	771	857	1598	1407	769	200	671	246	768	819	208	0
KIF15	1191.846154	565	967	734	2158	2668	1507	2895	1791	2271	962	717	0	0	552	1073	0	557	2722	1701	2071	1964	2438	1825	2080	1713	907	878	901	1072	1250	1706	1211	756	0	397	215	677	445	136	0
KIAA1143	1191.846154	565	967	734	2158	2668	1507	2895	1791	2271	962	717	0	0	552	1073	0	557	2722	1701	2071	1964	2438	1825	2080	1713	907	878	901	1072	1250	1706	1211	756	0	397	215	677	445	136	0
WEE1	1183.333333	357	1460	1046	1829	2163	1485	2309	1837	1596	2553	2287	0	0	991	2461	0	415	2186	1364	1599	1713	1978	1359	1688	1543	887	1039	829	949	1024	1696	1392	709	67	264	71	434	570	0	0
ATAD2	1181.179487	406	1838	1335	1628	1994	1380	2349	3088	1484	1843	1464	0	0	1093	2459	0	441	2218	1735	1604	1797	2305	1380	1819	1485	772	612	704	903	1185	1451	1388	698	90	249	100	438	331	0	0
CASP8AP2	1178.358974	692	1200	877	1935	1516	1112	2204	2776	1616	2758	2965	0	0	2003	3436	0	539	2121	1224	1613	1410	1827	1017	1372	1163	373	528	542	685	874	1119	1629	454	201	644	201	719	493	118	0
ZWINT	1176.410256	400	1958	1177	2551	2608	1680	2724	3941	1938	1690	2155	0	0	681	2022	0	274	1832	1016	1311	1388	1560	1015	1405	1086	755	767	631	831	860	1298	1177	658	142	465	247	679	705	253	0
CNTLN	1175.051282	1399	765	598	2680	2206	1118	2567	952	0	848	855	0	0	413	1164	0	866	2714	1617	1955	2173	2515	1677	2347	1794	938	967	972	1239	1295	1744	1268	925	121	877	153	1177	774	154	0
METTL2B	1174.487179	758	1357	854	1558	2338	1034	2667	3285	2122	2018	1808	0	0	621	1566	0	517	2546	1615	1758	1675	2237	1288	2169	1624	657	729	645	915	1064	1544	1323	547	0	261	96	307	206	96	0
OIP5	1170.051282	354	840	882	1498	1828	1313	2392	3900	1600	3215	1618	0	0	976	2443	0	1042	2222	1432	1449	1593	2198	1256	1593	1292	742	873	615	670	1138	1565	1364	651	0	264	87	374	272	81	0
NUSAP1	1170.051282	354	840	882	1498	1828	1313	2392	3900	1600	3215	1618	0	0	976	2443	0	1042	2222	1432	1449	1593	2198	1256	1593	1292	742	873	615	670	1138	1565	1364	651	0	264	87	374	272	81	0
TTC33	1164.743590	1306	1871	1081	1617	2367	963	2704	3254	1262	1367	1691	0	0	1049	2323	0	289	2388	1284	1570	1433	1957	1361	1809	1562	710	589	745	1016	1165	1569	1311	711	0	328	0	318	292	163	0
NCAPG2	1162.333333	551	1000	428	2878	2186	1076	2512	2322	1259	1996	2499	0	0	1776	3257	0	606	2082	1322	1682	1477	1909	1167	1794	1261	497	485	614	1122	980	1551	733	422	99	455	145	679	339	170	0
TPRA1	1157.128205	600	1868	1025	899	2189	1347	2149	2844	2439	1460	2821	0	0	568	1511	0	321	2409	1562	1616	1835	2371	1404	1703	1360	908	757	731	980	1406	1720	1076	647	0	113	0	241	248	0	0
METTL2A	1155.384615	646	1355	727	1445	2343	1113	2718	3678	2356	1244	1212	0	0	561	1483	0	347	2574	1572	1624	1627	1961	1475	1862	1532	720	771	760	943	1257	1617	1413	767	0	222	115	607	276	137	0
UBAP2	1152.820513	1072	320	352	2069	1465	936	2491	1420	1865	1825	1040	0	0	1238	2162	172	801	2309	1784	2040	1918	2335	1560	2090	1871	600	739	774	1068	1226	1762	1406	864	102	375	146	381	382	0	0
MZT2A	1149.153846	540	1041	352	1998	1450	924	1884	2526	1745	2140	2347	0	0	1062	2551	0	1072	2373	1621	1547	1687	2152	1335	1637	1683	679	830	593	993	1148	1410	1437	642	139	298	0	568	233	180	0
EXO1	1142.923077	969	865	923	2464	2155	1169	2762	1905	1993	1707	802	0	0	648	2134	0	743	2481	1571	1585	1554	2210	1457	1964	1552	717	712	582	915	1088	1668	1335	637	0	277	131	507	271	121	0
RRM1	1136.820513	1123	1273	897	2032	2109	1255	2328	1913	2053	1280	1631	0	0	747	1688	0	531	2190	1257	1505	1549	1954	1522	1933	1491	644	760	672	1067	1242	1486	1419	849	135	516	131	499	496	159	0
SRSF2	1134.025641	241	1324	817	1066	1826	1304	2231	2670	1490	2528	2467	0	0	934	2256	0	293	2298	1735	1748	1661	2028	1570	1716	1344	911	870	590	804	1071	1750	1036	735	0	159	109	322	323	0	0
MFSD11	1134.025641	241	1324	817	1066	1826	1304	2231	2670	1490	2528	2467	0	0	934	2256	0	293	2298	1735	1748	1661	2028	1570	1716	1344	911	870	590	804	1071	1750	1036	735	0	159	109	322	323	0	0
ZNFX1	1133.769231	894	1452	523	1794	1482	901	1926	2424	1057	1502	2330	0	0	913	1521	0	501	2597	1730	1956	1638	2255	1558	1901	1861	808	783	483	887	1260	1552	1223	801	0	449	175	622	349	109	0
TCF19	1132.153846	449	1889	980	2079	2277	1258	2629	3718	1679	2419	2156	0	0	746	2755	0	663	1999	1128	1289	1178	1563	1141	1342	1162	410	594	590	667	901	981	776	542	141	451	170	554	685	193	0
CCHCR1	1132.153846	449	1889	980	2079	2277	1258	2629	3718	1679	2419	2156	0	0	746	2755	0	663	1999	1128	1289	1178	1563	1141	1342	1162	410	594	590	667	901	981	776	542	141	451	170	554	685	193	0
RANBP3	1129.846154	651	1394	900	1303	1986	985	2588	2213	2133	2454	2045	0	0	603	1736	0	808	2559	1763	1495	1690	2180	1500	1785	1613	747	735	481	853	950	1543	934	398	0	223	119	345	352	0	0
CSTF3	1128.641026	550	824	540	2524	2422	1673	2948	3328	1997	838	154	0	0	0	271	0	207	2670	1915	1784	1816	2340	1500	1735	1925	804	772	791	1079	1059	1595	1470	770	83	420	153	431	521	108	0
ACAD9	1126.538462	569	1269	1046	1266	1875	1041	2396	2731	1942	1407	2768	0	0	707	1810	0	635	2607	1519	1837	1769	1834	1782	1691	1309	830	852	558	856	1258	1641	601	360	0	210	59	643	257	0	0
KIF18B	1117.666667	418	1029	524	2633	2272	1218	2841	1919	1956	1604	907	0	0	1116	2280	0	761	2034	1541	1606	1710	2044	1001	1461	1368	621	521	741	940	1056	1440	1112	609	109	577	180	768	499	173	0
RBSN	1115.333333	231	315	262	1103	2507	1402	2615	1359	2238	1367	1784	0	0	385	1324	0	212	2794	2122	2054	1999	2430	1710	1999	1755	719	746	786	991	1319	1844	1376	849	0	142	135	302	322	0	0
TK1	1111.615385	221	406	208	2197	2299	1724	2689	1088	1878	1234	1163	0	0	1097	3177	0	431	2395	1360	1626	1673	2005	1322	1629	1539	670	791	677	962	1253	1864	862	501	120	609	121	676	683	203	0
LRRC57	1108.564103	998	2265	1619	1241	1662	538	2097	3011	2050	1512	1193	0	0	559	1451	0	867	2240	1458	1622	1596	2064	1422	2025	1488	811	676	614	900	1162	1437	728	664	0	510	80	424	250	0	0
HAUS2	1108.564103	998	2265	1619	1241	1662	538	2097	3011	2050	1512	1193	0	0	559	1451	0	867	2240	1458	1622	1596	2064	1422	2025	1488	811	676	614	900	1162	1437	728	664	0	510	80	424	250	0	0
BUB1B	1103.589744	411	478	546	1872	2893	1574	3092	1931	2375	1467	1587	0	0	822	2395	0	947	2187	1205	1390	1320	1914	1262	1371	1261	640	678	609	781	1055	1321	1043	636	106	438	96	550	581	206	0
HNRNPA1	1103.512821	1132	1053	1048	1605	1566	1028	2108	3528	1011	2144	2050	0	0	1109	1856	0	615	2190	1497	1484	1535	1753	1506	1477	1437	827	768	524	700	1029	1290	1034	576	0	377	90	557	533	0	0
CBX5	1103.512821	1132	1053	1048	1605	1566	1028	2108	3528	1011	2144	2050	0	0	1109	1856	0	615	2190	1497	1484	1535	1753	1506	1477	1437	827	768	524	700	1029	1290	1034	576	0	377	90	557	533	0	0
TFDP1	1102.666667	373	1859	1180	1179	1745	897	2067	1712	745	2236	2191	0	0	363	827	0	817	2591	1796	1687	1737	2276	1757	1999	1666	956	848	786	1078	1281	1812	929	604	0	320	66	438	186	0	0
RAB8A	1102.589744	693	1115	776	1580	1861	834	2379	1842	1924	2147	1081	0	0	801	2067	0	561	2271	1627	1694	1696	2062	1549	1866	1776	939	680	763	1106	1071	1469	1041	631	182	188	0	411	202	116	0
CDC25A	1101.512821	433	617	451	1474	2108	1368	2366	2582	2259	2115	1173	0	0	1298	2455	0	549	2134	1407	1452	1756	1823	1512	1594	1326	655	447	692	920	1204	1338	1568	770	0	240	69	406	398	0	0
LIN52	1099.692308	512	343	333	2106	1552	872	2392	1790	2093	1236	1575	0	0	911	1854	0	339	2612	1600	1711	1922	2096	1612	2071	1699	762	831	815	823	1358	1723	1464	683	0	245	175	494	284	0	0
ALDH6A1	1099.692308	512	343	333	2106	1552	872	2392	1790	2093	1236	1575	0	0	911	1854	0	339	2612	1600	1711	1922	2096	1612	2071	1699	762	831	815	823	1358	1723	1464	683	0	245	175	494	284	0	0
GMNN	1096.871795	433	1302	595	2288	2062	706	2431	2396	1587	2278	1465	0	0	1058	2789	0	815	2184	1316	1663	1466	1967	1265	1518	1369	607	727	618	827	1019	1442	736	394	94	308	114	447	317	175	0
MSH5	1087.794872	333	1529	914	2316	2110	1174	2437	3053	897	2439	896	0	0	831	2085	0	536	2225	1371	1415	1234	1818	1458	1583	1242	769	788	511	700	939	1304	1255	613	104	317	168	399	419	242	0
CLIC1	1087.794872	333	1529	914	2316	2110	1174	2437	3053	897	2439	896	0	0	831	2085	0	536	2225	1371	1415	1234	1818	1458	1583	1242	769	788	511	700	939	1304	1255	613	104	317	168	399	419	242	0
CC2D1A	1087.025641	604	2096	1246	1360	1779	865	2510	2494	1506	1541	1803	0	0	817	1464	0	533	2485	1568	1589	1729	2143	1542	1867	1573	749	651	683	935	986	1524	511	285	0	298	0	416	242	0	0
C19orf57	1087.025641	604	2096	1246	1360	1779	865	2510	2494	1506	1541	1803	0	0	817	1464	0	533	2485	1568	1589	1729	2143	1542	1867	1573	749	651	683	935	986	1524	511	285	0	298	0	416	242	0	0
SNX5	1086.512821	453	860	683	1790	1952	1334	2261	3488	1381	1627	1442	0	0	1052	2381	0	782	1987	1577	1468	1517	1938	1687	1416	1316	806	1028	476	704	895	1276	1184	471	0	284	100	443	315	0	0
MGME1	1086.512821	453	860	683	1790	1952	1334	2261	3488	1381	1627	1442	0	0	1052	2381	0	782	1987	1577	1468	1517	1938	1687	1416	1316	806	1028	476	704	895	1276	1184	471	0	284	100	443	315	0	0
CSTF2T	1079.256410	703	1086	1013	1698	1421	1192	3045	4234	1690	2146	1206	0	0	810	2014	0	290	2084	1169	1362	1397	1868	855	1451	1401	341	422	568	645	751	1324	1568	621	115	504	105	625	260	107	0
VPS26B	1077.128205	377	384	233	1863	2061	1411	2601	1120	1723	1421	1820	0	0	798	2092	0	583	2076	1588	1593	1646	1788	1260	1819	1499	771	707	751	1149	1224	1753	1336	678	149	372	176	530	441	215	0
NCAPD3	1077.128205	377	384	233	1863	2061	1411	2601	1120	1723	1421	1820	0	0	798	2092	0	583	2076	1588	1593	1646	1788	1260	1819	1499	771	707	751	1149	1224	1753	1336	678	149	372	176	530	441	215	0
CDCA4	1073.230769	414	1358	802	1722	1573	729	1971	1442	769	1308	2280	0	0	545	610	171	577	2321	1835	1961	2129	2264	1843	1892	1451	992	930	827	989	1451	1720	855	404	0	467	200	526	422	106	0
SAC3D1	1069.794872	275	1709	1131	1185	1581	798	1969	2801	2132	2281	938	0	0	757	1777	0	696	2477	1781	1857	1811	2377	1886	1538	1625	490	718	476	770	802	1206	755	388	0	211	104	175	151	94	0
MAMSTR	1065.051282	0	889	232	2296	2611	1424	3059	3397	2113	2062	1441	0	0	829	2389	0	532	2056	993	1251	1036	1622	1109	1263	1105	601	378	601	553	638	1138	1060	558	103	419	138	677	719	245	0
PRKDC	1063.641026	522	1294	771	2149	1720	995	1993	2522	1542	1736	1501	0	0	1333	2457	0	694	1904	973	1396	1523	1613	1284	1571	1353	895	789	596	870	968	1391	967	533	0	373	176	560	431	87	0
MCM4	1063.641026	522	1294	771	2149	1720	995	1993	2522	1542	1736	1501	0	0	1333	2457	0	694	1904	973	1396	1523	1613	1284	1571	1353	895	789	596	870	968	1391	967	533	0	373	176	560	431	87	0
NCAPH2	1061.897436	858	1304	819	877	2031	1154	2260	727	2314	1358	1486	0	0	907	1964	0	0	2340	1056	1649	1328	2181	1540	2112	1791	680	746	460	806	1367	1711	1519	909	130	279	100	289	252	110	0
LMF2	1061.897436	858	1304	819	877	2031	1154	2260	727	2314	1358	1486	0	0	907	1964	0	0	2340	1056	1649	1328	2181	1540	2112	1791	680	746	460	806	1367	1711	1519	909	130	279	100	289	252	110	0
SLX1B	1060.333333	198	311	283	1616	2102	1525	2389	2681	1620	2531	2423	0	0	846	2385	0	773	1979	1353	1297	1082	1676	1228	1423	1303	689	643	441	639	924	1117	1184	669	142	468	115	577	545	176	0
SLX1A	1060.333333	198	311	283	1616	2102	1525	2389	2681	1620	2531	2423	0	0	846	2385	0	773	1979	1353	1297	1082	1676	1228	1423	1303	689	643	441	639	924	1117	1184	669	142	468	115	577	545	176	0
BOLA2B	1060.333333	198	311	283	1616	2102	1525	2389	2681	1620	2531	2423	0	0	846	2385	0	773	1979	1353	1297	1082	1676	1228	1423	1303	689	643	441	639	924	1117	1184	669	142	468	115	577	545	176	0
BOLA2	1060.333333	198	311	283	1616	2102	1525	2389	2681	1620	2531	2423	0	0	846	2385	0	773	1979	1353	1297	1082	1676	1228	1423	1303	689	643	441	639	924	1117	1184	669	142	468	115	577	545	176	0
RDM1	1058.307692	248	0	0	1114	2579	1457	2924	1307	2308	1789	1555	0	0	120	471	0	666	2699	2037	1918	1798	2603	1828	2091	1727	673	697	469	792	1058	1703	1182	711	93	144	0	323	190	0	0
EFCAB7	1056.487179	1391	882	1195	2107	2009	928	1845	3523	2161	1454	182	0	0	1157	2712	178	643	1874	1040	1400	1171	1646	959	1443	1181	467	537	443	775	915	1214	1202	666	163	641	156	437	319	187	0
PCLAF	1054.974359	621	586	598	2461	2198	1156	2874	2862	1888	1489	1129	0	0	738	1987	0	543	2065	1121	1376	1254	1760	1137	1665	1307	550	663	546	764	997	1225	1360	764	0	370	95	412	439	144	0
PBK	1054.717949	752	680	587	2886	2658	1761	2935	1821	1924	938	324	0	0	169	895	0	312	2281	1212	1584	1646	1996	1422	1753	1511	706	567	595	838	907	1296	973	593	160	568	164	723	793	204	0
FAM76B	1051.897436	210	755	537	2484	2128	1093	2472	2468	1494	1732	1408	0	0	778	2216	0	611	2290	1294	1596	1730	1730	1421	1676	1292	628	639	522	717	894	1292	1114	362	0	361	170	379	289	242	0
CEP57	1051.897436	210	755	537	2484	2128	1093	2472	2468	1494	1732	1408	0	0	778	2216	0	611	2290	1294	1596	1730	1730	1421	1676	1292	628	639	522	717	894	1292	1114	362	0	361	170	379	289	242	0
NCAPD2	1050.435897	369	178	239	1709	2075	918	2238	1152	1260	2676	1161	0	0	1367	2491	0	304	2433	1882	1667	1605	2343	1581	1938	1567	690	706	386	696	1139	1341	1047	697	0	259	128	499	226	0	0
MRPL51	1050.435897	369	178	239	1709	2075	918	2238	1152	1260	2676	1161	0	0	1367	2491	0	304	2433	1882	1667	1605	2343	1581	1938	1567	690	706	386	696	1139	1341	1047	697	0	259	128	499	226	0	0
METTL15	1049.871795	1013	1293	1023	1597	2310	1094	2663	3038	1762	2366	1590	0	0	839	2242	0	784	2126	1075	1135	1144	1775	955	1267	1179	468	452	516	639	777	962	905	381	134	360	89	578	337	77	0
KIF18A	1049.871795	1013	1293	1023	1597	2310	1094	2663	3038	1762	2366	1590	0	0	839	2242	0	784	2126	1075	1135	1144	1775	955	1267	1179	468	452	516	639	777	962	905	381	134	360	89	578	337	77	0
CDC7	1044.410256	1004	834	551	2157	1718	1085	2243	2552	1703	1471	1612	0	0	611	1784	0	241	2041	1254	1645	1553	1788	1162	1485	1394	725	757	698	768	980	1492	1189	648	142	313	146	489	408	89	0
TIPIN	1043.230769	393	1219	857	1351	1797	652	2454	2880	1907	2291	2009	0	0	1006	2206	0	481	2024	1347	1366	1361	1900	1236	1416	1168	848	748	611	737	974	1459	801	453	0	192	0	299	243	0	0
SFN	1042.641026	227	1878	1190	1286	1791	926	2377	3155	1283	2430	2010	0	0	1052	2335	0	932	1978	1234	1338	1287	1614	1332	1332	1052	807	585	682	695	1049	1238	489	334	0	260	0	306	179	0	0
C19orf48	1039.717949	763	2071	1383	1156	1995	1198	2637	4267	1900	969	2013	0	0	708	1808	147	327	1513	1083	988	1241	1569	803	1493	1298	358	440	476	659	706	965	872	486	98	565	105	796	553	140	0
CEP295	1039.051282	946	1974	1164	1456	2504	1504	2528	2481	2012	1825	1761	0	0	499	1016	0	658	2174	1056	1271	1291	1931	1245	1318	1159	561	466	496	575	858	1289	751	426	72	353	0	383	435	85	0
