Target_genes	POU5F1|Average	SRX130060|BJ	SRX185775|BJ	SRX2431535|BJ	SRX5774914|Dermal_fibroblast	SRX5774915|Dermal_fibroblast	SRX5774916|Dermal_fibroblast	SRX5774919|Dermal_fibroblast	SRX5774920|Dermal_fibroblast	SRX1053369|Embryonic_Stem_Cells	SRX1053370|Embryonic_Stem_Cells	SRX1053378|Embryonic_Stem_Cells	SRX1053379|Embryonic_Stem_Cells	SRX702068|hESC_derived_ectodermal_cells	SRX702063|hESC_derived_mesendodermal_cells	SRX702064|hESC_derived_mesendodermal_cells	SRX702067|hESC_derived_mesendodermal_cells	SRX011571|hESC_H1	SRX011572|hESC_H1	SRX017276|hESC_H1	SRX100483|hESC_H1	SRX2966970|hESC_H1	SRX2966971|hESC_H1	SRX021069|hESC_H9	SRX021070|hESC_H9	SRX021071|hESC_H9	SRX2881139|hESC_H9	SRX2881140|hESC_H9	SRX3288570|hESC_H9	SRX3288571|hESC_H9	SRX4405899|hESC_H9	SRX4405901|hESC_H9	SRX5774922|hESC_H9	SRX266859|hESC_HUES64	SRX702065|hESC_HUES64	SRX702066|hESC_HUES64	SRX702069|hESC_HUES64	SRX1813578|iPS_cells	SRX1813579|iPS_cells	SRX512369|iPS_cells	SRX1813572|MRC-5	SRX1813573|MRC-5	SRX1813574|MRC-5	SRX1813575|MRC-5	SRX1813576|MRC-5	SRX1813577|MRC-5	SRX2732208|MRC-5	SRX2732209|MRC-5	SRX123443|NCCIT	SRX123445|NCCIT	SRX2966968|Testis	SRX2966969|Testis	STRING
ANKRD1	243.019608	0	0	0	0	0	0	0	0	784	995	1944	1709	0	274	0	231	0	0	229	596	0	0	0	113	112	0	59	1533	1413	0	0	0	593	120	100	642	0	457	490	0	0	0	0	0	0	0	0	0	0	0	0	0
RPH3A	242.960784	0	0	0	0	0	0	0	0	0	0	1110	935	0	390	0	241	0	0	87	499	0	0	0	149	271	111	91	876	1151	0	0	0	2021	272	0	2053	0	112	613	0	0	0	0	0	0	0	0	303	1106	0	0	0
PCSK1	241.235294	0	0	0	0	0	0	0	0	589	580	610	585	0	304	0	174	0	0	457	587	0	0	578	528	503	0	201	803	426	0	83	0	1146	184	110	1185	0	157	994	0	0	0	0	0	0	0	0	326	1053	140	0	0
KIF21A	230.705882	0	0	88	0	0	0	0	0	1520	1692	1015	1007	0	388	0	318	0	0	253	491	0	0	0	260	419	120	87	740	902	0	0	0	502	112	0	515	0	0	345	0	0	0	0	0	0	0	0	285	707	0	0	0
MFSD4B	230.411765	0	0	83	0	0	0	0	0	1341	1438	933	1050	0	385	0	271	0	0	84	554	0	0	0	199	148	150	113	1077	861	0	0	0	889	211	0	943	0	0	445	0	0	0	0	0	0	0	0	0	576	0	0	0
PHC1	229.666667	0	0	0	0	0	0	0	0	713	815	1035	844	0	236	0	275	0	0	218	354	0	0	0	155	219	131	142	1205	1019	0	146	0	1116	0	0	1138	0	122	400	0	0	0	0	0	0	0	0	546	884	0	0	0
PHETA2	229.549020	0	0	0	0	0	0	0	0	1170	1431	397	310	0	266	0	0	0	0	314	537	0	0	213	356	217	149	127	1084	669	0	0	0	1273	0	0	1301	0	0	474	0	0	0	0	0	0	0	0	224	1195	0	0	0
NAGA	229.549020	0	0	0	0	0	0	0	0	1170	1431	397	310	0	266	0	0	0	0	314	537	0	0	213	356	217	149	127	1084	669	0	0	0	1273	0	0	1301	0	0	474	0	0	0	0	0	0	0	0	224	1195	0	0	0
GPRC5B	224.686275	0	0	0	0	0	0	0	0	892	1000	835	743	0	180	0	158	0	0	373	588	0	0	176	239	281	179	156	482	339	0	277	0	1782	161	0	1808	0	0	666	0	0	0	0	0	0	0	0	0	144	0	0	0
POU5F1	223.803922	144	0	0	173	0	133	544	317	773	714	355	430	0	328	0	201	0	0	554	366	0	0	531	461	405	239	280	305	267	119	274	189	844	183	118	851	0	0	809	0	0	0	0	0	0	101	0	0	406	0	0	0
RNF220	219.960784	111	0	106	0	0	0	0	0	687	542	485	414	0	426	0	0	0	0	281	356	0	0	273	331	292	62	222	406	393	0	154	0	1286	285	362	1382	0	0	584	0	0	0	0	0	0	0	0	338	1440	0	0	0
TARS1	218.764706	0	0	0	0	0	0	0	0	682	841	1025	983	0	185	0	271	0	0	95	156	0	0	0	0	153	0	92	1688	1020	0	0	0	901	0	0	953	0	0	670	0	0	0	0	0	0	0	0	429	1013	0	0	0
TERF1	217.862745	0	0	0	0	0	0	0	0	1036	1036	1143	1007	0	215	0	122	0	0	382	367	0	0	0	152	204	65	0	1249	1112	0	0	0	739	156	132	776	0	133	464	0	0	0	0	0	0	0	0	129	492	0	0	0
PRICKLE1	216.078431	0	0	0	0	0	0	0	0	1177	1228	759	705	0	219	0	242	0	0	290	334	0	0	415	345	508	79	90	1024	774	0	88	0	583	0	135	616	0	0	517	0	0	0	0	0	0	0	0	329	563	0	0	0
GLYATL1B	210.215686	0	0	0	0	0	0	0	0	446	691	656	641	0	311	0	164	0	0	223	388	0	0	0	227	188	187	248	672	636	0	150	0	1710	178	251	1776	0	0	582	0	0	0	0	0	0	0	0	0	396	0	0	0
PIPOX	208.156863	0	0	0	0	0	0	0	0	124	166	743	700	0	259	0	146	0	0	351	330	0	0	298	514	466	0	104	696	701	0	97	0	1652	80	0	1726	0	0	301	0	0	0	0	0	0	0	0	178	984	0	0	0
CADPS	206.156863	0	0	0	0	0	0	0	0	429	409	1459	1545	0	203	0	204	0	0	132	245	0	0	0	0	117	0	112	1011	1234	0	0	0	1115	161	0	1176	0	99	172	0	0	0	0	0	0	0	0	179	512	0	0	0
SNRPN	205.313725	0	0	0	0	0	0	0	0	1008	1031	832	615	0	247	0	125	0	0	220	334	0	0	198	169	292	107	167	584	538	0	89	0	956	157	158	1009	0	0	472	0	0	0	0	0	0	0	0	228	935	0	0	0
AHCYL2	201.980392	0	0	0	0	0	0	0	0	407	596	720	585	0	193	0	186	0	0	355	224	0	0	0	190	284	0	63	916	798	0	0	0	1516	0	85	1618	0	0	611	0	0	0	0	0	0	0	0	273	681	0	0	0
BCOR	201.392157	0	0	97	0	0	0	0	0	795	963	797	847	0	113	0	156	0	0	349	191	0	0	214	145	222	149	131	1076	827	70	0	0	864	0	0	893	0	0	1032	0	0	0	0	0	0	0	0	0	340	0	0	0
BDH1	200.627451	209	0	0	0	0	0	0	0	637	552	514	619	0	251	0	141	0	0	486	305	0	0	311	229	248	121	191	752	449	0	100	0	1190	138	0	1255	0	0	666	0	0	0	0	0	0	0	0	268	600	0	0	0
PPBP	198.862745	0	0	0	0	0	0	0	0	0	0	1176	1290	0	251	0	173	0	0	285	278	0	0	0	275	230	0	243	1495	1273	0	0	0	896	145	118	945	0	156	584	0	0	0	0	0	0	0	0	0	329	0	0	0
PF4	198.862745	0	0	0	0	0	0	0	0	0	0	1176	1290	0	251	0	173	0	0	285	278	0	0	0	275	230	0	243	1495	1273	0	0	0	896	145	118	945	0	156	584	0	0	0	0	0	0	0	0	0	329	0	0	0
URM1	198.392157	0	0	0	0	0	0	0	0	322	360	690	628	0	254	0	177	0	0	270	213	0	0	398	231	269	0	0	708	803	0	0	0	1091	493	303	1130	0	120	439	0	0	0	0	0	0	0	0	298	921	0	0	0
SRRM4	197.745098	0	0	0	0	0	0	0	0	580	686	274	283	0	142	0	126	0	0	179	421	93	107	517	492	534	0	95	262	325	0	111	0	1436	331	296	1490	0	0	460	0	0	0	0	0	0	0	0	0	631	214	0	0
SGK1	197.549020	0	0	194	0	0	0	0	0	1713	1708	912	743	0	0	0	122	0	0	150	335	0	0	0	0	0	0	0	1138	939	0	0	0	700	0	0	731	0	0	379	0	0	0	0	0	0	0	0	0	311	0	0	0
CD82	193.901961	0	0	91	0	0	0	0	0	0	0	714	739	0	251	0	321	0	0	378	451	0	0	0	142	184	0	168	843	794	82	73	0	1434	284	132	1472	0	107	433	0	0	0	0	0	0	0	0	212	584	0	0	0
SLTM	190.705882	0	0	180	0	0	0	0	0	433	350	951	915	0	122	0	180	0	0	158	322	0	0	0	0	155	0	147	1294	757	0	0	0	795	0	134	844	0	99	341	0	0	0	0	0	0	0	0	454	1095	0	0	0
NANOG	190.568627	0	0	0	0	0	0	0	0	689	747	486	431	0	175	0	0	0	0	258	625	0	0	0	0	310	0	133	531	657	0	0	0	1324	0	0	1378	0	0	484	0	0	0	0	0	0	0	0	325	1166	0	0	0
SHCBP1L	188.411765	0	0	0	0	0	0	0	0	1017	1034	702	512	0	287	0	212	0	0	144	497	0	0	0	192	0	124	116	1082	812	0	0	0	810	0	0	797	0	0	353	0	0	0	0	0	0	0	0	193	725	0	0	0
MTRNR2L1	185.803922	493	569	344	0	250	207	833	576	368	412	0	0	231	0	0	0	0	0	0	565	148	190	0	170	175	592	543	553	525	283	376	0	0	0	0	0	0	0	902	0	0	0	171	0	0	0	0	0	0	0	0	0
ETS1	185.137255	0	0	219	0	0	0	0	0	1067	996	599	720	0	81	0	0	0	0	292	112	0	0	141	210	234	0	110	1147	1222	0	0	0	762	0	0	760	0	0	232	0	0	0	0	0	0	0	0	110	428	0	0	0
GSX2	181.843137	0	0	0	0	0	0	0	0	504	582	679	439	0	146	0	147	0	0	226	365	0	0	82	0	165	0	147	566	379	0	0	0	1474	118	142	1545	0	0	656	0	0	0	0	0	0	0	0	207	705	0	0	0
DUSP6	181.647059	0	0	0	0	0	0	0	0	669	642	486	556	0	263	0	228	0	0	572	198	0	0	158	0	0	380	258	416	389	98	140	0	1090	0	0	1126	0	0	555	0	0	0	0	0	0	0	0	287	753	0	0	0
AGO1	180.019608	0	0	0	0	0	0	0	0	415	393	524	511	0	193	0	160	0	0	161	402	0	0	171	228	174	0	0	465	225	0	79	0	1460	159	210	1537	0	0	258	0	0	0	0	0	0	0	0	298	1158	0	0	0
NTRK2	178.725490	0	0	0	0	0	0	0	0	0	0	1216	1026	0	350	0	159	0	0	283	373	0	0	187	267	305	99	0	906	667	0	78	0	870	178	161	928	0	0	379	0	0	0	0	0	0	0	0	167	516	0	0	0
DNMBP	175.078431	0	0	0	0	0	0	0	0	674	603	583	500	0	265	0	187	0	0	210	378	0	0	359	336	475	0	0	517	528	0	0	0	909	164	143	943	0	148	407	0	0	0	0	0	0	0	0	126	474	0	0	0
SHC1	174.941176	0	0	119	0	0	0	0	0	901	1168	523	563	0	196	0	0	0	0	222	81	0	0	0	0	0	195	0	564	419	0	0	0	861	177	140	886	0	0	355	0	0	0	0	0	0	0	0	301	1251	0	0	0
FLAD1	172.607843	0	0	0	0	0	0	0	0	901	1168	523	563	0	196	0	0	0	0	222	81	0	0	0	0	0	195	0	564	419	0	0	0	861	177	140	886	0	0	355	0	0	0	0	0	0	0	0	301	1251	0	0	0
CKS1B	172.607843	0	0	0	0	0	0	0	0	901	1168	523	563	0	196	0	0	0	0	222	81	0	0	0	0	0	195	0	564	419	0	0	0	861	177	140	886	0	0	355	0	0	0	0	0	0	0	0	301	1251	0	0	0
PIM2	172.078431	0	0	0	0	0	0	0	0	1376	1301	989	802	0	101	0	0	0	0	0	0	94	0	0	0	0	0	0	840	770	0	0	0	592	0	0	618	0	0	394	0	0	0	0	0	0	0	0	204	695	0	0	0
DHDDS	172.039216	0	0	0	0	0	0	0	0	0	0	670	685	0	317	0	111	0	0	126	422	159	0	195	192	0	275	215	329	301	89	134	0	1470	227	202	1559	0	0	385	0	0	0	0	0	0	0	0	338	373	0	0	0
GDF11	171.823529	0	0	0	0	0	0	0	0	1172	1395	757	603	0	0	0	0	0	0	170	232	0	0	0	0	0	0	0	690	425	0	0	0	615	0	0	614	0	0	695	0	0	0	0	0	0	0	0	368	1027	0	0	0
APOBEC3F	171.823529	0	0	0	0	0	0	0	0	1100	1346	280	340	0	0	0	0	0	0	359	596	0	0	531	407	488	88	171	428	290	0	126	0	548	0	0	631	0	0	688	0	0	0	0	0	0	0	0	0	346	0	0	0
NES	169.588235	0	0	0	0	0	0	0	0	428	518	593	789	0	171	0	0	0	0	297	243	0	0	382	332	514	0	83	421	544	0	0	0	828	0	0	905	0	0	360	0	0	0	0	0	0	0	0	199	1042	0	0	0
ITPRID1	169.098039	89	0	0	0	0	0	0	0	246	334	1227	961	0	205	0	147	0	0	141	309	0	0	0	0	222	0	93	1120	544	0	0	0	966	0	0	986	0	0	252	0	0	0	0	0	0	0	0	247	535	0	0	0
PRSS48	167.686275	0	0	0	0	0	0	0	0	240	471	687	686	0	242	0	184	0	0	164	466	0	0	0	0	168	107	199	521	335	0	93	0	1570	0	0	1631	0	0	252	0	0	0	0	0	0	0	0	130	406	0	0	0
CDYL	166.882353	246	0	95	0	0	0	0	0	251	302	589	632	0	0	0	0	0	0	1143	438	0	0	0	0	0	236	205	802	669	0	231	0	501	0	0	516	0	0	1260	0	0	0	0	0	0	0	0	0	395	0	0	0
TALDO1	165.058824	141	0	0	0	0	0	0	0	689	882	581	596	0	0	0	0	0	0	133	328	0	0	0	0	228	0	126	881	788	0	0	0	792	0	0	792	0	195	536	0	0	0	0	0	0	0	0	253	477	0	0	0
FAM227A	163.568627	0	0	0	0	0	0	0	0	454	712	493	456	0	218	0	0	0	0	262	354	0	0	187	243	441	0	207	316	217	0	87	0	1031	241	0	1049	0	0	285	0	0	0	0	0	0	0	0	209	880	0	0	0
CBY1	163.568627	0	0	0	0	0	0	0	0	454	712	493	456	0	218	0	0	0	0	262	354	0	0	187	243	441	0	207	316	217	0	87	0	1031	241	0	1049	0	0	285	0	0	0	0	0	0	0	0	209	880	0	0	0
LRRN3	163.411765	0	0	0	0	0	0	0	0	523	562	958	905	0	142	0	205	0	0	152	118	0	0	0	0	246	77	104	642	590	0	0	0	1043	109	0	1090	0	85	360	0	0	0	0	0	0	0	0	0	423	0	0	0
TEKT3	162.529412	0	0	0	0	0	0	0	0	253	388	512	570	0	154	0	152	0	0	409	232	0	0	301	260	373	0	82	550	517	0	0	0	883	0	141	881	0	0	513	0	0	0	0	0	0	0	0	211	907	0	0	0
DDX46	162.450980	0	0	0	0	0	0	0	0	1285	1354	1071	987	0	169	0	158	0	0	146	0	0	0	0	0	0	0	89	463	223	0	0	0	1012	0	0	1069	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0
NFE2L1	161.647059	0	0	156	0	0	0	0	0	431	397	326	359	0	210	0	0	0	0	279	261	0	0	289	300	253	114	266	249	277	0	211	0	1212	0	0	1255	0	0	463	0	0	0	0	0	0	0	0	178	758	0	0	0
LOC102724770	161.039216	252	338	168	0	0	96	427	290	0	0	0	0	572	384	0	311	0	0	270	269	0	168	0	0	0	245	132	0	125	0	0	0	452	227	425	384	0	222	0	0	181	144	282	0	275	621	402	126	112	182	131	0
DGCR6	161.039216	252	338	168	0	0	96	427	290	0	0	0	0	572	384	0	311	0	0	270	269	0	168	0	0	0	245	132	0	125	0	0	0	452	227	425	384	0	222	0	0	181	144	282	0	275	621	402	126	112	182	131	0
FAM174B	160.352941	0	0	0	0	0	0	0	0	534	396	1117	1011	0	204	0	183	0	0	0	146	0	0	0	108	139	0	0	907	777	0	0	0	823	185	0	889	0	89	121	0	0	0	0	0	0	0	0	124	425	0	0	0
ALDH1A2	160.058824	0	0	0	0	0	0	0	0	992	1374	718	780	0	224	0	0	0	0	149	177	0	0	0	0	0	80	0	453	378	0	0	0	850	0	0	896	0	0	417	0	0	0	0	0	0	0	0	161	514	0	0	0
FOXI3	158.274510	0	0	0	0	0	0	0	0	724	867	498	549	0	218	0	0	0	0	143	440	0	0	181	0	175	0	0	647	280	0	0	0	1025	0	178	1086	0	0	321	0	0	0	0	0	0	0	0	205	535	0	0	0
DAGLB	157.450980	0	0	0	0	0	0	0	0	791	779	457	407	0	208	0	0	0	0	234	305	0	0	0	132	0	0	158	264	312	0	0	0	1164	144	0	1179	0	0	437	0	0	0	0	0	0	0	0	164	895	0	0	0
KIF5C	157.274510	1064	858	338	0	0	0	229	0	229	276	0	0	0	0	0	0	0	0	0	900	0	0	169	216	277	878	768	0	0	243	331	0	315	0	0	289	0	0	0	0	0	0	242	0	0	0	0	205	194	0	0	0
NADK	155.294118	0	0	0	0	0	0	0	0	589	624	410	364	0	117	0	0	0	0	133	389	0	0	227	295	218	0	0	637	426	0	0	0	878	0	0	937	0	0	321	0	0	0	119	0	110	0	108	197	821	0	0	0
SEPTIN5	155.254902	0	0	0	0	0	0	0	0	525	664	492	345	0	190	0	169	0	0	186	220	0	0	187	223	260	0	186	462	580	0	0	0	860	187	0	887	0	0	576	0	0	0	0	0	0	0	0	155	564	0	0	0
STAC3	155.078431	164	0	148	0	0	0	0	0	512	430	292	342	0	0	0	0	0	0	241	809	0	0	132	190	185	363	399	0	0	0	633	0	1381	117	0	1408	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFA4L2	155.078431	164	0	148	0	0	0	0	0	512	430	292	342	0	0	0	0	0	0	241	809	0	0	132	190	185	363	399	0	0	0	633	0	1381	117	0	1408	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A14	154.254902	0	0	0	0	0	0	0	0	653	809	416	204	0	0	0	142	0	0	0	432	0	0	0	201	362	0	130	491	591	0	0	0	808	0	0	854	0	0	391	0	0	0	0	0	0	0	0	311	1072	0	0	0
GBX2	152.941176	0	0	0	0	0	0	0	0	276	288	540	421	0	260	0	0	0	0	150	268	0	0	201	0	127	101	0	416	627	0	100	0	1110	417	203	1154	0	0	283	0	0	0	0	0	0	0	0	166	692	0	0	0
LEFTY1	152.294118	0	0	0	0	0	0	0	0	249	431	444	369	0	432	0	157	0	0	506	389	0	0	389	209	307	107	233	381	350	0	157	0	595	0	0	601	0	0	417	0	0	0	0	0	0	0	0	0	1044	0	0	0
APOBEC3D	152.176471	134	0	0	0	0	0	0	0	904	983	369	332	0	0	0	0	175	0	311	337	0	0	392	394	470	86	191	384	292	0	128	0	522	0	0	639	0	0	569	0	0	0	0	0	0	0	0	0	149	0	0	0
APOBEC3C	152.176471	134	0	0	0	0	0	0	0	904	983	369	332	0	0	0	0	175	0	311	337	0	0	392	394	470	86	191	384	292	0	128	0	522	0	0	639	0	0	569	0	0	0	0	0	0	0	0	0	149	0	0	0
ZBTB4	152.156863	0	0	0	0	0	0	0	0	812	806	386	276	0	0	0	0	0	0	176	791	0	0	0	0	0	458	471	100	0	0	469	0	1126	191	0	1250	0	0	290	0	0	0	0	0	0	0	0	0	158	0	0	0
SLC35G6	152.156863	0	0	0	0	0	0	0	0	812	806	386	276	0	0	0	0	0	0	176	791	0	0	0	0	0	458	471	100	0	0	469	0	1126	191	0	1250	0	0	290	0	0	0	0	0	0	0	0	0	158	0	0	0
POLR2A	152.156863	0	0	0	0	0	0	0	0	812	806	386	276	0	0	0	0	0	0	176	791	0	0	0	0	0	458	471	100	0	0	469	0	1126	191	0	1250	0	0	290	0	0	0	0	0	0	0	0	0	158	0	0	0
CDX2	151.529412	0	0	0	0	0	0	0	0	0	155	798	760	0	198	0	138	0	0	247	255	0	0	463	248	203	0	0	534	534	0	0	0	857	135	197	874	0	0	562	0	0	0	0	0	0	0	0	86	484	0	0	0
MAMDC2	151.372549	285	440	84	0	130	218	258	238	324	367	366	423	0	81	0	0	0	0	408	377	170	297	0	0	0	353	336	162	117	0	225	0	366	0	142	379	0	0	628	0	0	0	0	0	0	0	0	0	145	273	128	0
DPH6	150.450980	0	0	88	0	0	0	0	0	420	394	547	526	0	176	0	183	0	0	251	109	0	0	259	178	276	165	159	335	360	0	103	0	798	72	108	839	0	0	232	0	0	0	0	0	0	0	0	193	902	0	0	0
FAM120B	149.078431	0	0	0	0	0	0	0	0	133	198	211	244	0	275	0	0	0	0	266	154	0	0	400	303	402	85	151	610	385	135	182	0	878	346	174	912	0	0	473	0	0	0	0	0	0	0	0	124	562	0	0	0
DLL1	149.078431	0	0	0	0	0	0	0	0	133	198	211	244	0	275	0	0	0	0	266	154	0	0	400	303	402	85	151	610	385	135	182	0	878	346	174	912	0	0	473	0	0	0	0	0	0	0	0	124	562	0	0	0
LRRC10B	148.823529	0	0	0	0	0	0	0	0	970	1046	827	839	0	0	0	0	0	0	86	166	0	0	0	0	136	0	0	724	825	0	0	0	556	0	0	563	0	0	187	0	0	0	0	0	0	0	0	95	570	0	0	0
SCGB3A2	148.431373	0	0	0	0	0	0	0	0	566	841	542	550	0	0	0	114	0	0	140	106	0	0	0	143	0	184	93	270	234	0	0	0	1238	121	102	1300	0	0	164	0	0	0	0	0	0	0	0	142	720	0	0	0
NFE2L3	147.137255	0	0	0	0	0	0	0	0	0	145	670	532	0	163	0	164	0	0	248	227	0	0	195	308	200	0	79	658	474	0	0	0	949	105	0	985	0	131	512	0	0	0	106	0	0	130	0	129	394	0	0	0
SORBS2	145.647059	0	0	0	0	0	0	0	0	350	522	934	935	0	0	0	0	0	0	176	116	0	0	0	0	0	94	157	544	189	0	87	0	1263	0	0	1312	0	0	329	0	0	0	0	0	0	0	0	144	276	0	0	0
ANK2	145.313725	128	0	0	0	0	0	0	0	0	99	461	385	0	186	0	0	0	0	105	100	0	0	165	137	143	391	0	182	239	0	0	0	1694	158	123	1757	0	0	673	0	0	0	0	0	0	0	0	0	285	0	0	0
RMND5B	145.274510	0	0	0	0	0	0	0	0	439	654	497	530	0	0	0	115	0	0	204	137	0	0	0	246	159	66	110	691	497	0	0	0	919	0	0	998	0	0	489	0	0	0	0	0	0	0	0	182	476	0	0	0
HDAC9	145.215686	0	0	0	0	0	0	0	0	494	571	483	511	0	159	0	0	0	0	131	475	0	0	281	153	229	0	191	318	320	0	0	0	1085	0	130	1137	0	0	228	0	0	0	0	0	0	0	0	0	510	0	0	0
FBXW11	144.254902	0	0	127	0	0	0	0	0	819	827	716	856	0	115	0	0	0	0	93	104	0	0	167	0	0	0	0	671	509	0	0	0	534	125	0	550	0	99	191	0	0	0	0	0	0	0	0	160	694	0	0	0
