Target_genes	POU5F1|Average	SRX130060|BJ	SRX185775|BJ	SRX2431535|BJ	SRX5774914|Dermal_fibroblast	SRX5774915|Dermal_fibroblast	SRX5774916|Dermal_fibroblast	SRX5774919|Dermal_fibroblast	SRX5774920|Dermal_fibroblast	SRX1053369|Embryonic_Stem_Cells	SRX1053370|Embryonic_Stem_Cells	SRX1053378|Embryonic_Stem_Cells	SRX1053379|Embryonic_Stem_Cells	SRX702068|hESC_derived_ectodermal_cells	SRX702063|hESC_derived_mesendodermal_cells	SRX702064|hESC_derived_mesendodermal_cells	SRX702067|hESC_derived_mesendodermal_cells	SRX011571|hESC_H1	SRX011572|hESC_H1	SRX017276|hESC_H1	SRX100483|hESC_H1	SRX2966970|hESC_H1	SRX2966971|hESC_H1	SRX021069|hESC_H9	SRX021070|hESC_H9	SRX021071|hESC_H9	SRX2881139|hESC_H9	SRX2881140|hESC_H9	SRX3288570|hESC_H9	SRX3288571|hESC_H9	SRX4405899|hESC_H9	SRX4405901|hESC_H9	SRX5774922|hESC_H9	SRX266859|hESC_HUES64	SRX702065|hESC_HUES64	SRX702066|hESC_HUES64	SRX702069|hESC_HUES64	SRX1813578|iPS_cells	SRX1813579|iPS_cells	SRX512369|iPS_cells	SRX1813572|MRC-5	SRX1813573|MRC-5	SRX1813574|MRC-5	SRX1813575|MRC-5	SRX1813576|MRC-5	SRX1813577|MRC-5	SRX2732208|MRC-5	SRX2732209|MRC-5	SRX123443|NCCIT	SRX123445|NCCIT	SRX2966968|Testis	SRX2966969|Testis	STRING
DNMBP	175.078431	0	0	0	0	0	0	0	0	674	603	583	500	0	265	0	187	0	0	210	378	0	0	359	336	475	0	0	517	528	0	0	0	909	164	143	943	0	148	407	0	0	0	0	0	0	0	0	126	474	0	0	0
FLAD1	172.607843	0	0	0	0	0	0	0	0	901	1168	523	563	0	196	0	0	0	0	222	81	0	0	0	0	0	195	0	564	419	0	0	0	861	177	140	886	0	0	355	0	0	0	0	0	0	0	0	301	1251	0	0	0
FAM227A	163.568627	0	0	0	0	0	0	0	0	454	712	493	456	0	218	0	0	0	0	262	354	0	0	187	243	441	0	207	316	217	0	87	0	1031	241	0	1049	0	0	285	0	0	0	0	0	0	0	0	209	880	0	0	0
CBY1	163.568627	0	0	0	0	0	0	0	0	454	712	493	456	0	218	0	0	0	0	262	354	0	0	187	243	441	0	207	316	217	0	87	0	1031	241	0	1049	0	0	285	0	0	0	0	0	0	0	0	209	880	0	0	0
DAGLB	157.450980	0	0	0	0	0	0	0	0	791	779	457	407	0	208	0	0	0	0	234	305	0	0	0	132	0	0	158	264	312	0	0	0	1164	144	0	1179	0	0	437	0	0	0	0	0	0	0	0	164	895	0	0	0
NADK	155.294118	0	0	0	0	0	0	0	0	589	624	410	364	0	117	0	0	0	0	133	389	0	0	227	295	218	0	0	637	426	0	0	0	878	0	0	937	0	0	321	0	0	0	119	0	110	0	108	197	821	0	0	0
ZBTB4	152.156863	0	0	0	0	0	0	0	0	812	806	386	276	0	0	0	0	0	0	176	791	0	0	0	0	0	458	471	100	0	0	469	0	1126	191	0	1250	0	0	290	0	0	0	0	0	0	0	0	0	158	0	0	0
POLR2A	152.156863	0	0	0	0	0	0	0	0	812	806	386	276	0	0	0	0	0	0	176	791	0	0	0	0	0	458	471	100	0	0	469	0	1126	191	0	1250	0	0	290	0	0	0	0	0	0	0	0	0	158	0	0	0
FAM120B	149.078431	0	0	0	0	0	0	0	0	133	198	211	244	0	275	0	0	0	0	266	154	0	0	400	303	402	85	151	610	385	135	182	0	878	346	174	912	0	0	473	0	0	0	0	0	0	0	0	124	562	0	0	0
SLC2A14	148.921569	0	0	0	0	0	0	0	0	653	809	416	204	0	0	0	0	0	0	0	432	0	0	0	201	362	0	0	491	591	0	0	0	808	0	0	854	0	0	391	0	0	0	0	0	0	0	0	311	1072	0	0	0
ANK2	145.313725	128	0	0	0	0	0	0	0	0	99	461	385	0	186	0	0	0	0	105	100	0	0	165	137	143	391	0	182	239	0	0	0	1694	158	123	1757	0	0	673	0	0	0	0	0	0	0	0	0	285	0	0	0
HDAC9	145.215686	0	0	0	0	0	0	0	0	494	571	483	511	0	159	0	0	0	0	131	475	0	0	281	153	229	0	191	318	320	0	0	0	1085	0	130	1137	0	0	228	0	0	0	0	0	0	0	0	0	510	0	0	0
SOX6	140.352941	0	0	0	0	0	0	0	0	695	507	979	962	0	0	0	0	0	0	122	213	0	0	0	93	0	0	0	757	405	0	0	0	353	0	0	377	0	0	397	0	0	0	0	0	0	0	0	322	976	0	0	0
RGPD2	138.235294	862	739	199	0	0	0	164	198	240	349	145	0	0	0	0	0	0	0	0	645	175	172	0	200	175	825	624	0	0	273	259	0	258	0	0	222	0	0	0	0	0	0	0	0	0	0	0	150	176	0	0	0
C1R	136.921569	0	0	0	0	0	0	0	0	557	669	287	259	0	0	0	123	0	0	212	519	0	0	232	141	162	0	0	532	0	0	0	0	638	0	0	630	0	0	321	0	0	0	0	0	0	0	0	264	1437	0	0	0
LRRTM4	129.647059	0	0	0	0	0	0	0	0	550	594	858	675	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	1174	761	0	0	0	608	0	0	643	0	0	301	0	0	0	0	0	0	0	0	0	250	0	0	0
ELL	127.235294	0	0	215	0	0	0	0	0	671	452	331	244	0	141	0	0	0	0	0	381	0	0	0	0	0	439	294	0	0	104	591	0	1073	147	0	1153	0	0	159	0	0	0	0	0	0	0	0	0	94	0	0	0
CD200	126.843137	0	0	0	0	0	0	0	0	480	638	495	422	0	227	0	0	0	0	120	255	0	0	167	134	136	83	132	193	164	0	81	0	1024	121	0	1018	0	0	219	0	0	0	0	0	0	0	0	0	360	0	0	0
LRRTM3	126.137255	0	0	0	0	0	0	0	0	137	204	432	526	0	209	0	0	0	0	209	463	0	0	152	164	133	0	0	412	436	0	0	0	1035	0	0	1049	0	104	260	0	0	0	0	0	0	0	0	0	508	0	0	0
WNT5B	124.607843	0	0	0	0	0	0	0	0	379	232	180	270	0	0	0	0	0	0	158	0	0	0	536	380	395	0	89	293	337	0	0	0	790	158	0	835	0	0	396	0	0	0	0	0	0	0	0	164	763	0	0	0
FBXO40	120.392157	0	0	0	0	0	0	0	0	747	585	596	450	0	121	0	0	0	0	284	181	0	0	246	336	260	0	0	536	215	0	0	0	567	0	0	563	0	0	295	0	0	0	0	0	0	0	0	0	158	0	0	0
DUSP12	119.764706	0	0	0	0	0	0	0	0	739	874	385	266	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	196	282	0	0	0	668	0	0	708	0	0	274	0	0	0	0	0	0	0	0	259	1343	0	0	0
GID4	118.647059	0	0	0	0	0	0	0	0	187	272	204	265	0	199	0	0	0	0	194	131	0	0	164	168	169	0	77	321	134	0	0	0	935	373	149	971	0	0	257	0	0	0	0	0	0	0	0	125	756	0	0	0
ATPAF2	118.647059	0	0	0	0	0	0	0	0	187	272	204	265	0	199	0	0	0	0	194	131	0	0	164	168	169	0	77	321	134	0	0	0	935	373	149	971	0	0	257	0	0	0	0	0	0	0	0	125	756	0	0	0
E2F7	115.098039	0	0	145	0	0	0	0	0	421	320	330	497	0	213	0	0	0	0	104	103	0	0	128	0	0	0	71	153	349	0	130	0	769	190	196	820	0	0	203	0	0	0	0	0	0	0	0	0	728	0	0	0
KIFBP	114.941176	0	0	0	0	0	0	0	0	673	504	567	470	0	151	0	243	0	0	0	182	0	0	174	229	261	0	0	223	180	0	0	0	570	0	0	599	0	0	260	0	0	0	0	0	0	0	0	0	576	0	0	0
NRG1	114.588235	0	0	141	0	0	0	0	0	979	1043	733	584	0	0	0	0	0	0	84	102	0	0	0	0	0	0	0	834	457	0	0	0	197	0	0	203	0	0	153	0	0	0	0	0	0	0	0	0	334	0	0	0
BRINP2	114.274510	0	0	0	0	0	0	0	0	0	0	396	420	0	200	0	0	0	0	173	301	0	0	0	133	181	109	152	0	0	0	246	0	1032	0	171	1083	0	0	422	0	0	0	0	0	0	0	0	192	617	0	0	0
USP44	112.862745	0	0	0	0	0	0	0	0	91	141	299	244	0	224	0	0	0	0	336	224	0	0	231	190	210	0	0	200	262	0	0	0	1044	0	0	1079	0	0	503	0	0	0	0	0	0	0	0	0	478	0	0	0
ZNF343	110.117647	0	0	0	0	0	0	0	0	697	712	548	714	0	0	0	217	0	0	120	101	0	0	0	0	0	0	0	737	533	0	0	0	307	0	0	333	0	0	298	0	0	0	0	0	0	0	0	0	299	0	0	0
MED12	109.941176	0	0	0	0	0	0	0	0	1118	1231	361	320	0	190	0	0	0	0	0	0	0	0	0	0	0	94	0	394	311	0	0	0	244	0	0	259	0	0	161	0	0	0	0	0	0	0	0	309	615	0	0	0
IER5L	108.823529	0	0	71	0	0	0	0	0	370	396	406	624	0	0	0	0	0	0	110	251	0	0	120	0	135	0	0	466	339	0	0	0	696	0	0	724	0	0	556	0	0	0	0	0	0	0	0	0	286	0	0	0
TACC2	108.686275	0	0	145	0	0	0	0	0	107	233	257	0	0	184	0	0	0	0	225	96	0	0	304	194	226	0	143	466	464	0	65	0	689	267	210	710	0	0	177	0	0	0	0	0	0	0	0	0	381	0	0	0
GIMAP5	106.274510	0	0	0	0	0	0	0	0	0	342	1456	1496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890	0	0	0
NOTCH1	102.117647	0	0	0	0	0	0	0	0	445	510	284	223	0	137	0	0	0	0	130	184	0	0	0	0	0	0	0	250	311	0	0	0	569	270	99	596	0	0	279	0	0	0	0	0	0	0	0	99	822	0	0	0
OTX2	100.803922	0	0	0	0	0	0	0	0	417	548	848	690	0	0	0	0	0	0	83	95	0	0	0	0	0	0	0	681	489	0	0	0	429	0	0	467	0	0	244	0	0	0	0	0	0	0	0	0	150	0	0	0
LINGO1	100.705882	0	0	0	0	0	0	0	0	213	312	342	302	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	528	650	0	0	0	657	110	0	686	0	0	0	0	0	0	0	0	0	0	0	233	979	0	0	0
GDF3	100.509804	0	0	0	0	0	0	0	0	254	344	423	397	0	108	0	0	0	0	113	177	0	0	0	188	140	0	0	700	266	0	0	0	451	0	0	447	0	0	260	0	0	0	0	0	0	0	0	170	688	0	0	0
UBA1	99.607843	0	0	0	0	0	0	0	0	840	686	575	398	0	0	0	0	0	0	0	195	0	0	0	0	0	254	214	0	0	124	329	0	640	0	0	702	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0
FCHO1	99.156863	0	0	0	0	0	0	0	0	599	375	502	386	0	147	0	0	0	0	0	205	0	0	158	126	122	0	0	194	0	0	0	0	636	91	0	691	0	0	0	0	0	0	0	0	0	0	0	136	689	0	0	0
AHCY	97.490196	0	0	123	0	0	0	0	0	528	697	216	249	0	182	0	0	0	0	0	291	0	0	0	0	0	147	113	109	0	125	292	0	622	235	96	656	0	0	175	0	0	0	0	0	0	0	0	0	116	0	0	0
FOXP1	97.254902	0	0	116	0	0	0	0	0	449	419	589	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	646	0	0	0	385	0	0	389	0	0	114	0	0	0	0	0	0	0	0	0	219	0	0	0
SLFN12	96.352941	0	0	0	0	0	0	0	0	443	364	343	431	0	0	0	146	0	0	428	0	0	0	130	134	216	0	0	806	532	0	0	0	147	0	0	169	0	0	490	0	0	0	0	0	0	0	0	0	135	0	0	0
ADI1	91.490196	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	215	0	0	120	108	0	0	120	125	0	0	0	120	0	0	0	0	0	0	0	0	918	2494	0	0	0
STOX2	90.450980	0	0	0	0	0	0	0	0	109	146	132	121	0	206	0	0	0	0	133	117	0	0	309	183	263	0	0	514	376	0	0	0	408	226	168	406	0	100	302	0	0	0	0	0	0	0	0	0	394	0	0	0
TNKS1BP1	87.686275	0	0	349	0	0	0	0	0	319	246	190	203	0	137	0	0	0	0	0	294	0	0	0	0	0	162	196	0	0	0	312	0	938	95	0	1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEUROG1	82.901961	0	0	0	0	0	0	0	0	238	213	212	284	0	224	0	0	0	0	194	232	0	0	180	0	207	0	0	205	208	0	0	0	428	147	152	443	0	0	240	0	0	0	0	0	0	0	0	0	421	0	0	0
RIF1	81.490196	0	0	0	0	0	0	0	0	821	875	425	256	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	316	163	0	0	0	280	0	0	296	0	0	92	0	0	0	0	0	0	0	0	0	521	0	0	0
MACROH2A1	80.941176	0	0	125	0	0	0	0	0	156	160	535	480	0	127	0	119	0	0	0	140	0	0	0	0	0	0	0	275	326	0	0	0	433	0	0	439	0	0	231	0	0	0	0	0	0	0	0	111	471	0	0	0
HOXB1	80.411765	0	0	0	0	0	0	0	0	0	0	259	218	0	156	0	0	0	0	173	308	0	0	0	218	191	0	0	352	145	0	0	0	790	0	0	797	0	0	244	0	0	0	0	0	0	0	0	0	250	0	0	0
GADD45G	80.000000	0	0	0	0	0	0	0	0	114	140	290	269	0	204	0	0	0	0	82	123	0	0	222	0	141	0	0	243	290	0	0	0	440	312	239	495	0	0	165	0	0	0	0	0	0	0	0	0	311	0	0	0
CDH10	77.568627	0	0	0	0	0	0	0	0	138	154	0	0	0	130	0	0	0	0	205	0	0	0	220	150	315	0	0	187	169	0	0	0	696	187	0	723	0	0	214	0	0	0	0	0	0	0	0	0	468	0	0	0
PDCL	74.568627	0	0	0	0	0	0	0	0	331	407	286	318	0	110	0	0	0	0	0	128	0	0	0	0	177	0	0	503	375	0	0	0	247	0	0	245	0	0	321	0	0	0	0	0	0	0	0	0	355	0	0	0
ZNF532	74.549020	80	0	0	0	0	0	0	0	445	569	238	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	529	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	147	223	0	0	0
FGFR2	73.568627	0	0	0	0	0	0	0	0	133	183	711	599	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	598	410	0	0	0	276	0	0	313	0	81	154	0	0	0	0	0	0	0	0	0	198	0	0	0
PMEPA1	73.549020	0	0	81	0	0	0	0	0	308	564	223	252	0	164	0	0	0	0	160	0	0	0	0	0	168	0	0	249	226	0	0	0	313	143	0	315	0	0	176	0	0	0	0	0	0	0	0	0	409	0	0	0
ESR1	73.352941	0	0	0	0	0	0	0	0	229	250	140	110	0	0	0	0	0	0	286	132	0	0	0	0	0	0	0	135	0	0	99	0	642	180	0	690	0	0	258	0	0	0	0	0	0	0	0	0	590	0	0	0
PLAGL1	71.568627	0	0	100	0	0	0	0	0	201	214	287	302	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	634	424	0	0	0	254	0	0	248	0	0	367	0	0	0	0	0	0	0	0	0	442	0	0	0
ZNF428	70.450980	0	0	84	0	0	0	0	0	223	397	176	175	0	0	0	0	0	0	82	150	0	0	0	91	0	0	0	0	0	0	0	0	929	132	0	912	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0
HESX1	70.313725	0	0	0	0	0	0	0	0	268	249	514	575	0	196	0	0	0	0	0	71	0	0	0	104	0	0	0	390	209	0	0	0	301	0	0	301	0	0	130	0	0	0	0	0	0	0	0	0	278	0	0	0
SET	68.960784	0	0	57	0	0	0	0	0	266	397	359	222	0	200	0	0	0	0	163	0	0	0	0	0	0	0	0	266	286	0	0	0	329	184	0	354	0	0	129	0	0	0	0	0	0	0	0	0	305	0	0	0
CNPY1	68.921569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	106	0	0	163	0	0	0	0	300	199	0	0	0	746	182	144	763	0	0	211	0	0	0	0	0	0	0	0	134	390	0	0	0
SPIC	68.666667	0	0	0	0	0	0	0	0	1660	1403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0
DPPA4	68.372549	0	0	0	0	0	0	0	0	174	304	407	328	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	734	405	0	0	0	313	0	0	326	0	0	168	0	0	0	0	0	0	0	0	0	200	0	0	0
NRARP	64.705882	0	0	0	0	0	0	0	0	324	422	185	220	0	176	0	0	0	0	0	223	0	0	0	0	0	110	105	181	199	0	137	0	0	172	164	222	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0	0
FAM153B	64.294118	0	0	0	0	0	0	0	0	0	0	252	285	0	176	0	0	0	0	0	183	0	0	0	0	0	0	0	333	207	0	0	0	603	0	0	463	0	0	376	0	0	0	0	0	0	0	0	0	401	0	0	0
ST18	63.882353	0	0	0	0	0	0	0	0	173	234	548	395	0	0	0	0	0	0	172	122	0	0	0	0	0	0	0	276	296	0	0	0	308	0	0	361	0	0	107	0	0	0	0	0	0	0	0	0	266	0	0	0
RPL22	62.294118	0	0	0	0	0	0	0	0	163	236	258	173	0	0	0	0	0	0	0	0	0	0	192	0	0	71	0	235	0	0	0	0	701	0	0	745	0	0	178	0	0	0	0	0	0	0	0	0	225	0	0	0
AFF1	61.823529	0	0	153	0	0	0	0	0	292	267	181	119	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	656	0	0	730	0	0	296	0	0	0	0	0	0	0	0	0	293	0	0	0
RAD54B	61.745098	0	0	0	0	0	0	0	0	152	266	280	275	0	0	0	109	0	0	0	218	0	0	0	153	0	0	0	285	560	0	0	0	284	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0
FSBP	61.745098	0	0	0	0	0	0	0	0	152	266	280	275	0	0	0	109	0	0	0	218	0	0	0	153	0	0	0	285	560	0	0	0	284	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0
CCL2	61.176471	0	0	0	0	0	0	0	0	465	392	292	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	218	0	0	0	395	0	0	399	0	0	176	0	0	0	0	0	0	0	0	0	310	0	0	0
SACS	61.098039	0	0	102	0	0	0	0	0	0	0	299	297	0	234	0	0	0	0	124	110	0	0	0	0	0	0	0	311	250	0	0	0	448	0	0	481	0	0	135	0	0	0	0	0	0	0	0	0	325	0	0	0
FGD4	60.450980	0	0	0	0	0	0	0	0	249	233	363	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	398	0	0	0	273	0	0	260	0	0	119	0	0	0	0	0	0	0	0	0	319	0	0	0
INKA2	59.549020	0	0	0	0	0	0	0	0	279	320	171	124	0	0	0	0	0	0	195	92	0	0	125	0	0	0	0	184	119	0	0	0	342	156	0	333	0	0	98	0	0	0	0	0	0	0	0	0	499	0	0	0
WDFY2	59.058824	0	0	132	0	0	0	0	0	0	0	141	0	0	236	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	836	235	151	916	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV1	58.725490	0	0	0	0	0	0	0	0	142	226	197	180	0	0	0	0	0	0	217	0	0	0	147	128	0	0	0	405	409	0	0	0	233	0	0	274	0	0	140	0	0	0	0	0	0	0	0	0	297	0	0	0
GRWD1	58.156863	0	0	0	0	0	0	0	0	427	463	494	372	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	132	0	0	0	0	291	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0
MTRNR2L9	57.686275	502	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	218	369	158	0	0	333	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCOC	57.490196	0	0	90	0	0	0	0	0	0	0	117	144	0	285	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	713	225	191	785	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0
FBP1	55.901961	0	0	0	0	0	0	0	0	0	107	223	311	0	0	0	0	0	0	233	0	0	0	162	0	0	0	0	308	406	0	0	0	254	0	0	283	0	0	324	0	0	0	0	0	0	0	0	0	240	0	0	0
SFXN1	55.313725	0	0	0	0	0	0	0	0	123	0	158	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	920	0	0	941	0	0	238	0	0	0	0	0	0	0	0	0	192	0	0	0
HK2	54.862745	0	0	69	0	0	0	0	0	309	293	236	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	190	0	0	0	299	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	495	0	0	0
MTF2	53.529412	106	0	0	0	0	0	0	0	103	0	0	97	0	152	0	0	0	0	152	95	0	0	240	0	78	0	0	225	196	0	0	0	272	160	0	285	0	0	311	0	0	0	0	0	0	0	0	0	258	0	0	0
PHLDB2	52.862745	0	0	93	0	0	0	0	0	287	309	224	231	0	198	0	0	0	0	0	78	0	0	0	0	0	0	0	161	217	0	0	0	226	155	0	235	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0
LTBR	51.784314	0	0	117	0	0	0	0	0	161	217	273	141	0	0	0	0	0	0	0	153	0	0	189	0	0	0	0	175	286	0	0	0	290	0	0	322	0	0	117	0	0	0	0	0	0	0	0	0	200	0	0	0
PPP1R15B	51.725490	0	0	0	0	0	0	0	0	371	461	222	261	0	149	0	0	0	0	0	219	0	0	97	120	0	0	0	0	0	0	0	0	146	74	0	196	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0
ARHGAP42	51.647059	0	0	0	0	0	0	0	0	559	452	167	125	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	211	0	0	0	0	281	0	0	290	0	0	137	0	0	0	0	0	0	0	0	0	246	0	0	0
SMARCA2	51.627451	107	0	0	0	0	0	0	0	222	227	337	217	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	436	257	0	0	0	232	0	0	233	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM39B	51.294118	0	0	0	0	0	0	0	0	267	278	130	100	0	0	0	0	0	0	97	0	0	0	184	0	0	0	0	181	152	0	0	0	226	166	87	229	0	0	139	0	0	0	0	0	0	0	0	0	380	0	0	0
ATAD2	50.490196	0	0	88	0	0	0	0	0	206	128	250	208	0	0	0	0	0	0	0	105	0	0	103	0	0	0	0	90	126	0	0	0	350	0	0	353	0	0	165	0	0	0	0	0	0	0	0	127	276	0	0	0
THBS2	50.098039	0	0	0	0	0	0	0	0	0	0	196	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	173	0	0	0	599	0	0	603	0	0	177	0	0	0	0	0	0	0	0	0	457	0	0	0
SH3PXD2B	50.098039	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	343	112	0	0	177	177	139	0	109	0	0	0	0	0	482	0	0	477	0	0	276	0	0	0	0	0	0	0	0	0	153	0	0	0
KIFC3	49.745098	0	0	94	0	0	0	0	0	0	0	74	108	0	143	0	0	0	0	159	0	0	0	191	0	198	0	0	183	262	0	0	0	256	113	111	257	0	0	177	0	0	0	0	0	0	0	0	0	211	0	0	0
ZMIZ2	49.568627	0	0	369	0	0	0	0	0	211	285	130	156	0	0	0	0	0	0	0	171	0	0	0	0	0	129	291	0	0	110	540	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1A	49.490196	0	0	0	0	0	0	0	0	161	217	273	141	0	0	0	0	0	0	0	153	0	0	189	0	0	0	0	175	286	0	0	0	290	0	0	322	0	0	117	0	0	0	0	0	0	0	0	0	200	0	0	0
