ProteinA	UniProtID_A	GeneName_A	ProteinB	UniProtID_B	GeneName_B	MethodType	Method	Publication	Source
PO5F1_HUMAN	Q01860	POU5F1	WWP2_HUMAN	O00308	WWP2	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Xu, H. et al., 2009 (PMID:19274063)	BioGRID (Acc:574229)
PO5F1_HUMAN	Q01860	POU5F1	WWP2_HUMAN	O00308	WWP2	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Qian, YW. et al., 2012 (PMID:22387393)	BioGRID (Acc:658318)
PO5F1_HUMAN	Q01860	POU5F1	NUCL_HUMAN	P19338	NCL	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Johansson, H. et al., 2010 (PMID:21048921)	BioGRID (Acc:573002)
PO5F1_HUMAN	Q01860	POU5F1	HMGB1_HUMAN	P09429	HMGB1	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Butteroni, C. et al., 2000 (PMID:11099378)	BioGRID (Acc:287186)
PO5F1_HUMAN	Q01860	POU5F1	HMGB2_HUMAN	P26583	HMGB2	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Butteroni, C. et al., 2000 (PMID:11099378)	BioGRID (Acc:287187)
PO5F1_HUMAN	Q01860	POU5F1	WDR5_HUMAN	P61964	WDR5	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Ang, YS. et al., 2011 (PMID:21477851)	BioGRID (Acc:522255)
PO5F1_HUMAN	Q01860	POU5F1	WDR5_HUMAN	P61964	WDR5	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Ang, YS. et al., 2011 (PMID:21477851)	BioGRID (Acc:522257)
PO5F1_HUMAN	Q01860	POU5F1	ZN143_HUMAN	P52747	ZNF143	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Chen, X. et al., 2008 (PMID:18687992)	BioGRID (Acc:561397)
PO5F1_HUMAN	Q01860	POU5F1	ZN143_HUMAN	P52747	ZNF143	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Chen, X. et al., 2008 (PMID:18687992)	BioGRID (Acc:561398)
PO5F1_HUMAN	Q01860	POU5F1	PSD10_HUMAN	O75832	PSMD10	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Qian, YW. et al., 2012 (PMID:22387393)	BioGRID (Acc:658319)
PO5F1_HUMAN	Q01860	POU5F1	XPC_HUMAN	Q01831	XPC	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Fong, YW. et al., 2011 (PMID:21962512)	BioGRID (Acc:825316)
PO5F1_HUMAN	Q01860	POU5F1	XPC_HUMAN	Q01831	XPC	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520352)
PO5F1_HUMAN	Q01860	POU5F1	RD23B_HUMAN	P54727	RAD23B	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Fong, YW. et al., 2011 (PMID:21962512)	BioGRID (Acc:825317)
PO5F1_HUMAN	Q01860	POU5F1	RD23B_HUMAN	P54727	RAD23B	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Fong, YW. et al., 2011 (PMID:21962512)	BioGRID (Acc:825320)
PO5F1_HUMAN	Q01860	POU5F1	RD23B_HUMAN	P54727	RAD23B	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520272)
PO5F1_HUMAN	Q01860	POU5F1	CETN2_HUMAN	P41208	CETN2	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Fong, YW. et al., 2011 (PMID:21962512)	BioGRID (Acc:825318)
PO5F1_HUMAN	Q01860	POU5F1	ETS2_HUMAN	P15036	ETS2	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Ezashi, T. et al., 2001 (PMID:11689681)	BioGRID (Acc:857745)
PO5F1_HUMAN	Q01860	POU5F1	KTHY_HUMAN	P23919	DTYMK	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Huttlin, EL. et al., 2015 (PMID:26186194)	BioGRID (Acc:1189229)
PO5F1_HUMAN	Q01860	POU5F1	ABCF1_HUMAN	Q8NE71	ABCF1	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520102)
PO5F1_HUMAN	Q01860	POU5F1	ACACB_HUMAN	O00763	ACACB	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520103)
PO5F1_HUMAN	Q01860	POU5F1	ACOT9_HUMAN	Q9Y305	ACOT9	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520104)
PO5F1_HUMAN	Q01860	POU5F1	APC4_HUMAN	Q9UJX5	ANAPC4	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520105)
PO5F1_HUMAN	Q01860	POU5F1	ANGE2_HUMAN	Q5VTE6	ANGEL2	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520106)
PO5F1_HUMAN	Q01860	POU5F1	AP3D1_HUMAN	O14617	AP3D1	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520107)
PO5F1_HUMAN	Q01860	POU5F1	API5_HUMAN	Q9BZZ5	API5	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520108)
PO5F1_HUMAN	Q01860	POU5F1	ARI1B_HUMAN	Q8NFD5	ARID1B	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520109)
PO5F1_HUMAN	Q01860	POU5F1	ARMX1_HUMAN	Q9P291	ARMCX1	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520110)
PO5F1_HUMAN	Q01860	POU5F1	ATGA1_HUMAN	Q9BSB4	ATG101	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520111)
PO5F1_HUMAN	Q01860	POU5F1	ATPA_HUMAN	P25705	ATP5F1A	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520112)
PO5F1_HUMAN	Q01860	POU5F1	ATR_HUMAN	Q13535	ATR	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520113)
PO5F1_HUMAN	Q01860	POU5F1	BAG2_HUMAN	O95816	BAG2	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520114)
PO5F1_HUMAN	Q01860	POU5F1	BAG6_HUMAN	P46379	BAG6	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520115)
PO5F1_HUMAN	Q01860	POU5F1	BPTF_HUMAN	Q12830	BPTF	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520116)
PO5F1_HUMAN	Q01860	POU5F1	BRDT_HUMAN	Q58F21	BRDT	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520117)
PO5F1_HUMAN	Q01860	POU5F1	C2D2B_HUMAN	Q6DHV5	CC2D2B	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520118)
PO5F1_HUMAN	Q01860	POU5F1	CN093_HUMAN	Q9H972	C14orf93	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520119)
PO5F1_HUMAN	Q01860	POU5F1	L10K_HUMAN	Q9UNZ5	C19orf53	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520120)
PO5F1_HUMAN	Q01860	POU5F1	RTCB_HUMAN	Q9Y3I0	RTCB	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520121)
PO5F1_HUMAN	Q01860	POU5F1	PYR1_HUMAN	P27708	CAD	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520122)
PO5F1_HUMAN	Q01860	POU5F1	CBX2_HUMAN	Q14781	CBX2	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520123)
PO5F1_HUMAN	Q01860	POU5F1	CDAN1_HUMAN	Q8IWY9	CDAN1	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520124)
PO5F1_HUMAN	Q01860	POU5F1	CDC5L_HUMAN	Q99459	CDC5L	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520125)
PO5F1_HUMAN	Q01860	POU5F1	CDKA1_HUMAN	O14519	CDK2AP1	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520126)
PO5F1_HUMAN	Q01860	POU5F1	HDHD5_HUMAN	Q9BXW7	HDHD5	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520127)
PO5F1_HUMAN	Q01860	POU5F1	CHD7_HUMAN	Q9P2D1	CHD7	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520128)
PO5F1_HUMAN	Q01860	POU5F1	CLIP1_HUMAN	P30622	CLIP1	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520129)
PO5F1_HUMAN	Q01860	POU5F1	COPA_HUMAN	P53621	COPA	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520130)
PO5F1_HUMAN	Q01860	POU5F1	COPB_HUMAN	P53618	COPB	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520131)
PO5F1_HUMAN	Q01860	POU5F1	COPG1_HUMAN	Q9Y678	COPG1	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520132)
PO5F1_HUMAN	Q01860	POU5F1	CRBN_HUMAN	Q96SW2	CRBN	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520133)
PO5F1_HUMAN	Q01860	POU5F1	CUL4A_HUMAN	Q13619	CUL4A	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520134)
PO5F1_HUMAN	Q01860	POU5F1	DDB1_HUMAN	Q16531	DDB1	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520135)
PO5F1_HUMAN	Q01860	POU5F1	DDX20_HUMAN	Q9UHI6	DDX20	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520136)
PO5F1_HUMAN	Q01860	POU5F1	DDX24_HUMAN	Q9GZR7	DDX24	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520137)
PO5F1_HUMAN	Q01860	POU5F1	DDX28_HUMAN	Q9NUL7	DDX28	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520138)
PO5F1_HUMAN	Q01860	POU5F1	DDX47_HUMAN	Q9H0S4	DDX47	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520139)
PO5F1_HUMAN	Q01860	POU5F1	DEK_HUMAN	P35659	DEK	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520140)
PO5F1_HUMAN	Q01860	POU5F1	DHC24_HUMAN	Q15392	DHCR24	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520141)
PO5F1_HUMAN	Q01860	POU5F1	DHX29_HUMAN	Q7Z478	DHX29	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520142)
PO5F1_HUMAN	Q01860	POU5F1	KTU_HUMAN	Q9NVR5	DNAAF2	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520143)
PO5F1_HUMAN	Q01860	POU5F1	DNJA2_HUMAN	O60884	DNAJA2	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520144)
PO5F1_HUMAN	Q01860	POU5F1	DNJA3_HUMAN	Q96EY1	DNAJA3	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520145)
PO5F1_HUMAN	Q01860	POU5F1	DPPA4_HUMAN	Q7L190	DPPA4	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520146)
PO5F1_HUMAN	Q01860	POU5F1	DPY30_HUMAN	Q9C005	DPY30	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520147)
PO5F1_HUMAN	Q01860	POU5F1	DC1L1_HUMAN	Q9Y6G9	DYNC1LI1	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520148)
PO5F1_HUMAN	Q01860	POU5F1	COE1_HUMAN	Q9UH73	EBF1	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520149)
PO5F1_HUMAN	Q01860	POU5F1	ECM29_HUMAN	Q5VYK3	ECPAS	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520150)
PO5F1_HUMAN	Q01860	POU5F1	EIF3D_HUMAN	O15371	EIF3D	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520151)
PO5F1_HUMAN	Q01860	POU5F1	ELP3_HUMAN	Q9H9T3	ELP3	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520152)
PO5F1_HUMAN	Q01860	POU5F1	NEP1_HUMAN	Q92979	EMG1	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520153)
PO5F1_HUMAN	Q01860	POU5F1	EP400_HUMAN	Q96L91	EP400	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520154)
PO5F1_HUMAN	Q01860	POU5F1	ERBB3_HUMAN	P21860	ERBB3	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520155)
PO5F1_HUMAN	Q01860	POU5F1	RB6I2_HUMAN	Q8IUD2	ERC1	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520156)
PO5F1_HUMAN	Q01860	POU5F1	ERCC8_HUMAN	Q13216	ERCC8	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520157)
PO5F1_HUMAN	Q01860	POU5F1	EXOSX_HUMAN	Q01780	EXOSC10	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Oliviero, G. et al., 2015 (PMID:26687479)	BioGRID (Acc:1520158)
